Crawl_Date,Scheduled_Time,Actual_Time,Origin,IATA,Airline,Flight_No,Terminal,Arrival_Runway,Status,Actual_Tail,Aircraft_Type,Category
2026-03-16,2026-03-16 22:15,2026-03-16 22:17,Ho Chi Minh City,SGN,Vietnam Airlines,VN148,1,,Landed,VN-A390,A321,passenger
2026-03-12,2026-03-12 17:05,2026-03-12 17:10,Ho Chi Minh City,SGN,Vietnam Airlines,VN250,1,,Landed,VN-A873,B78X,passenger
2026-03-16,2026-03-16 22:00,2026-03-16 21:59,Ho Chi Minh City,SGN,Vietjet Air,VJ646,1,,Landed,LY-MLN,A320,passenger
2026-03-16,2026-03-16 21:05,2026-03-16 21:06,Ho Chi Minh City,SGN,Vietnam Airlines,VN146,1,,Landed,VN-A501,A21N,passenger
2026-03-12,2026-03-12 16:50,2026-03-12 16:54,Ho Chi Minh City,SGN,Vietjet Air,VJ134,1,,Landed,LY-NVG,A320,passenger
2026-03-16,2026-03-16 20:45,2026-03-16 20:53,Ho Chi Minh City,SGN,Vietnam Airlines,VN142,1,,Landed,VN-A606,A321,passenger
2026-03-12,2026-03-12 16:05,2026-03-12 16:10,Ho Chi Minh City,SGN,Vietnam Airlines,VN214,1,,Landed,VN-A879,B78X,passenger
2026-03-16,2026-03-16 19:50,2026-03-16 19:57,Ho Chi Minh City,SGN,Vietravel Airlines,VU684,1,,Landed,9H-MLW,A320,passenger
2026-03-12,2026-03-12 15:25,2026-03-12 15:18,Ho Chi Minh City,SGN,Bamboo Airways,QH242,1,,Landed,ER-00005,A320,passenger
2026-03-16,2026-03-16 19:35,2026-03-16 19:48,Ho Chi Minh City,SGN,Vietjet Air,VJ648,1,,Landed,VN-A675,A320,passenger
2026-03-12,2026-03-12 14:50,2026-03-12 14:49,Ho Chi Minh City,SGN,Vietjet Air,VJ142,1,,Landed,VN-A814,A333,passenger
2026-03-12,2026-03-12 14:05,2026-03-12 14:05,Ho Chi Minh City,SGN,Vietnam Airlines,VN212,1,,Landed,VN-A888,A359,passenger
2026-03-16,2026-03-16 18:25,2026-03-16 18:17,Ho Chi Minh City,SGN,Vietnam Airlines,VN7138,1,,Landed,9H-MLO,A320,passenger
2026-03-12,2026-03-12 13:05,2026-03-12 13:08,Ho Chi Minh City,SGN,Vietnam Airlines,VN246,1,,Landed,VN-A893,A359,passenger
2026-03-16,2026-03-16 18:05,2026-03-16 18:03,Ho Chi Minh City,SGN,Vietnam Airlines,VN140,1,,Landed,VN-A390,A321,passenger
2026-03-12,2026-03-12 12:05,2026-03-12 12:40,Ho Chi Minh City,SGN,Vietnam Airlines,VN210,1,,Landed,VN-A613,A321,passenger
2026-03-16,2026-03-16 17:35,2026-03-16 17:49,Ho Chi Minh City,SGN,Vietnam Airlines,VN136,1,,Landed,VN-A335,A321,passenger
2026-03-12,2026-03-12 11:35,2026-03-12 12:28,Ho Chi Minh City,SGN,Sun Phuquoc Airways,9G822,1,,Landed,VN-A280,A321,passenger
2026-03-16,2026-03-16 16:45,2026-03-16 16:53,Ho Chi Minh City,SGN,Vietjet Air,VJ638,1,,Landed,VN-A639,A321,passenger
2026-03-12,2026-03-12 10:50,2026-03-12 11:19,Ho Chi Minh City,SGN,Bamboo Airways,QH208,1,,Landed,VN-A227,A321,passenger
2026-03-16,2026-03-16 16:35,2026-03-16 16:29,Ho Chi Minh City,SGN,Vietnam Airlines,VN134,1,,Landed,VN-A606,A321,passenger
2026-03-12,2026-03-12 11:10,2026-03-12 10:57,Ho Chi Minh City,SGN,Vietjet Air,VJ132,1,,Landed,VN-A635,A321,passenger
2026-03-16,2026-03-16 15:20,2026-03-16 16:15,Ho Chi Minh City,SGN,Vietjet Air,VJ632,1,,Landed,VN-A644,A321,passenger
2026-03-12,2026-03-12 10:05,2026-03-12 10:10,Ho Chi Minh City,SGN,Vietnam Airlines,VN208,1,,Landed,VN-A879,B78X,passenger
2026-03-16,2026-03-16 15:50,2026-03-16 15:37,Ho Chi Minh City,SGN,Sun Phuquoc Airways,9G972,1,,Landed,VN-A286,A21N,passenger
2026-03-12,2026-03-12 09:20,2026-03-12 09:14,Ho Chi Minh City,SGN,Bamboo Airways,QH204,1,,Landed,ER-00005,A320,passenger
2026-03-16,2026-03-16 14:30,2026-03-16 15:20,Ho Chi Minh City,SGN,Vietjet Air,VJ630,1,,Landed,VN-A535,A321,passenger
2026-03-12,2026-03-12 08:40,2026-03-12 08:35,Ho Chi Minh City,SGN,Sun Phuquoc Airways,9G806,1,,Landed,VN-A279,A321,passenger
2026-03-16,2026-03-16 14:50,2026-03-16 15:06,Ho Chi Minh City,SGN,Vietnam Airlines,VN132,1,,Landed,VN-A338,A321,passenger
2026-03-12,2026-03-12 08:05,2026-03-12 08:09,Ho Chi Minh City,SGN,Vietnam Airlines,VN206,1,,Landed,VN-A888,A359,passenger
2026-03-16,2026-03-16 13:40,2026-03-16 13:58,Ho Chi Minh City,SGN,Vietnam Airlines,VN6036,1,,Landed,VN-A354,A321,passenger
2026-03-12,2026-03-12 07:55,2026-03-12 07:40,Ho Chi Minh City,SGN,Sun Phuquoc Airways,9G802,1,,Landed,VN-A285,A21N,passenger
2026-03-16,2026-03-16 13:00,2026-03-16 13:19,Ho Chi Minh City,SGN,Vietjet Air,VJ634,1,,Landed,VN-A642,A321,passenger
2026-03-13,2026-03-13 23:05,2026-03-13 23:58,Ho Chi Minh City,SGN,Vietnam Airlines,VN260,1,,Landed,VN-A877,B78X,passenger
2026-03-16,2026-03-16 12:40,2026-03-16 12:42,Ho Chi Minh City,SGN,Vietnam Airlines,VN126,1,,Landed,VN-A617,A21N,passenger
2026-03-16,2026-03-16 11:55,2026-03-16 11:45,Ho Chi Minh City,SGN,Sun Phuquoc Airways,9G964,1,,Landed,VN-A282,A21N,passenger
2026-03-13,2026-03-13 23:00,2026-03-13 22:42,Ho Chi Minh City,SGN,Bamboo Airways,QH286,1,,Landed,VN-A227,A321,passenger
2026-03-16,2026-03-16 11:05,2026-03-16 11:38,Ho Chi Minh City,SGN,Vietjet Air,VJ628,1,,Landed,VN-A644,A321,passenger
2026-03-13,2026-03-13 21:40,2026-03-13 21:38,Ho Chi Minh City,SGN,Vietnam Airlines,VN262,1,,Landed,VN-A878,B78X,passenger
2026-03-16,2026-03-16 11:30,2026-03-16 11:29,Ho Chi Minh City,SGN,Bamboo Airways,QH154,1,,Landed,VN-A585,A321,passenger
2026-03-13,2026-03-13 20:10,2026-03-13 21:30,Ho Chi Minh City,SGN,Vietjet Air,VJ154,1,,Landed,VN-A683,A321,passenger
2026-03-16,2026-03-16 11:25,2026-03-16 11:26,Ho Chi Minh City,SGN,Vietnam Airlines,VN7122,1,,Landed,VN-A399,A321,passenger
2026-03-13,2026-03-13 21:00,2026-03-13 20:49,Ho Chi Minh City,SGN,Vietjet Air,VJ166,1,,Landed,VN-A547,A21N,passenger
2026-03-16,2026-03-16 11:25,2026-03-16 11:16,Ho Chi Minh City,SGN,Vietnam Airlines,VN122,1,,Landed,VN-A608,A321,passenger
2026-03-16,2026-03-16 10:45,2026-03-16 11:09,Ho Chi Minh City,SGN,Vietjet Air,VJ626,1,,Landed,VN-A535,A321,passenger
2026-03-13,2026-03-13 20:35,2026-03-13 20:36,Ho Chi Minh City,SGN,Sun Phuquoc Airways,9G868,1,,Landed,VN-A279,A321,passenger
2026-03-16,2026-03-16 11:15,2026-03-16 11:01,Ho Chi Minh City,SGN,Sun Phuquoc Airways,9G962,1,,Landed,VN-A286,A21N,passenger
2026-03-13,2026-03-13 20:05,2026-03-13 20:18,Ho Chi Minh City,SGN,Vietnam Airlines,VN218,1,,Landed,VN-A898,A359,passenger
2026-03-16,2026-03-16 10:25,2026-03-16 10:23,Ho Chi Minh City,SGN,Vietravel Airlines,VU672,1,,Landed,VN-A289,A321,passenger
2026-03-13,2026-03-13 19:20,2026-03-13 19:10,Ho Chi Minh City,SGN,Vietravel Airlines,VU780,1,,Landed,VN-A289,A321,passenger
2026-03-16,2026-03-16 10:25,2026-03-16 10:09,Ho Chi Minh City,SGN,Vietnam Airlines,VN118,1,,Landed,VN-A606,A321,passenger
2026-03-13,2026-03-13 19:05,2026-03-13 19:02,Ho Chi Minh City,SGN,Vietnam Airlines,VN254,1,,Landed,VN-A886,A359,passenger
2026-03-16,2026-03-16 09:20,2026-03-16 09:17,Ho Chi Minh City,SGN,Vietnam Airlines,VN112,1,,Landed,VN-A356,A321,passenger
2026-03-13,2026-03-13 18:45,2026-03-13 18:38,Ho Chi Minh City,SGN,Vietnam Airlines,VN252,1,,Landed,VN-A869,B789,passenger
2026-03-16,2026-03-16 08:40,2026-03-16 08:34,Ho Chi Minh City,SGN,Vietjet Air,VJ622,1,,Landed,VN-A684,A321,passenger
2026-03-13,2026-03-13 17:45,2026-03-13 17:44,Ho Chi Minh City,SGN,Sun Phuquoc Airways,9G854,1,,Landed,VN-A280,A321,passenger
2026-03-16,2026-03-16 08:25,2026-03-16 08:05,Ho Chi Minh City,SGN,Vietnam Airlines,VN110,1,,Landed,VN-A617,A21N,passenger
2026-03-13,2026-03-13 17:35,2026-03-13 17:33,Ho Chi Minh City,SGN,Vietnam Airlines,VN232,1,,Landed,VN-A866,B789,passenger
2026-03-16,2026-03-16 07:50,2026-03-16 07:42,Ho Chi Minh City,SGN,Vietjet Air,VJ620,1,,Landed,VN-A676,A320,passenger
2026-03-13,2026-03-13 17:05,2026-03-13 16:56,Ho Chi Minh City,SGN,Vietnam Airlines,VN250,1,,Landed,VN-A874,B78X,passenger
2026-03-16,2026-03-16 07:40,2026-03-16 07:23,Ho Chi Minh City,SGN,Bamboo Airways,QH150,1,,Landed,JU-1410,A320,passenger
2026-03-13,2026-03-13 16:05,2026-03-13 15:55,Ho Chi Minh City,SGN,Vietnam Airlines,VN214,1,,Landed,VN-A868,B789,passenger
2026-03-16,2026-03-16 07:25,2026-03-16 07:10,Ho Chi Minh City,SGN,Vietnam Airlines,VN106,1,,Landed,VN-A399,A321,passenger
2026-03-13,2026-03-13 15:35,2026-03-13 15:36,Ho Chi Minh City,SGN,Vietravel Airlines,VU770,1,,Landed,VN-A136,A320,passenger
2026-03-16,2026-03-16 06:10,2026-03-16 05:54,Ho Chi Minh City,SGN,Vietravel Airlines,VU670,1,,Landed,VN-A289,A321,passenger
2026-03-13,2026-03-13 15:05,2026-03-13 15:14,Ho Chi Minh City,SGN,Vietnam Airlines,VN248,1,,Landed,VN-A871,B789,passenger
2025-12-19,2025-12-19 21:40,2025-12-19 21:33,Ho Chi Minh City,SGN,Vietnam Airlines,VN262,1,,Landed,VN-A868,B789,passenger
2026-03-13,2026-03-13 15:10,2026-03-13 15:09,Ho Chi Minh City,SGN,Vietjet Air,VJ198,1,,Landed,VN-A650,A320,passenger
2025-12-19,2025-12-19 09:30,2025-12-19 09:17,Ho Chi Minh City,SGN,Vietnam Airlines,VN226,1,,Landed,VN-A615,A321,passenger
2026-03-13,2026-03-13 15:25,2026-03-13 15:04,Ho Chi Minh City,SGN,Bamboo Airways,QH242,1,,Landed,ER-00005,A320,passenger
2026-03-13,2026-03-13 14:50,2026-03-13 14:51,Ho Chi Minh City,SGN,Vietjet Air,VJ142,1,,Landed,VN-A637,A321,passenger
2026-03-13,2026-03-13 14:10,2026-03-13 14:31,Ho Chi Minh City,SGN,Vietjet Air,VJ144,1,,Landed,VN-A528,A21N,passenger
2025-12-21,2025-12-21 23:20,2025-12-21 23:32,Ho Chi Minh City,SGN,Vietnam Airlines,VN7250,1,,Landed,VN-A615,A321,passenger
2026-03-13,2026-03-13 14:05,2026-03-13 14:03,Ho Chi Minh City,SGN,Vietnam Airlines,VN212,1,,Landed,VN-A898,A359,passenger
2026-03-13,2026-03-13 13:25,2026-03-13 13:41,Ho Chi Minh City,SGN,Vietjet Air,VJ188,1,,Landed,LY-NVE,A320,passenger
2026-03-13,2026-03-13 12:30,2026-03-13 12:32,Ho Chi Minh City,SGN,Bamboo Airways,QH224,1,,Landed,JU-1410,A320,passenger
2025-12-24,2025-12-24 18:05,2025-12-24 18:21,Ho Chi Minh City,SGN,Vietnam Airlines,VN216,1,,Landed,VN-A877,B78X,passenger
2026-03-13,2026-03-13 12:10,2026-03-13 12:24,Ho Chi Minh City,SGN,Vietjet Air,VJ128,1,,Landed,VN-A810,A333,passenger
2026-03-13,2026-03-13 12:05,2026-03-13 11:54,Ho Chi Minh City,SGN,Vietnam Airlines,VN210,1,,Landed,VN-A889,A359,passenger
2025-12-24,2025-12-24 17:35,2025-12-24 17:50,Ho Chi Minh City,SGN,Vietnam Airlines,VN232,1,,Landed,VN-A872,B78X,passenger
2026-03-13,2026-03-13 11:05,2026-03-13 10:58,Ho Chi Minh City,SGN,Vietnam Airlines,VN244,1,,Landed,VN-A877,B78X,passenger
2026-03-13,2026-03-13 11:10,2026-03-13 11:07,Ho Chi Minh City,SGN,Vietjet Air,VJ132,1,,Landed,VN-A636,A321,passenger
2026-03-13,2026-03-13 10:50,2026-03-13 10:33,Ho Chi Minh City,SGN,Bamboo Airways,QH208,1,,Landed,VN-A585,A321,passenger
2025-12-24,2025-12-24 17:30,2025-12-24 17:48,Ho Chi Minh City,SGN,Vietjet Air,VJ194,1,,Landed,VN-A580,A21N,passenger
2026-03-13,2026-03-13 10:40,2026-03-13 10:24,Ho Chi Minh City,SGN,Vietjet Air,VJ136,1,,Landed,VN-A657,A321,passenger
2025-12-24,2025-12-24 17:05,2025-12-24 17:00,Ho Chi Minh City,SGN,Vietnam Airlines,VN250,1,,Landed,VN-A886,A359,passenger
2026-03-13,2026-03-13 09:15,2026-03-13 09:12,Ho Chi Minh City,SGN,Vietravel Airlines,VU774,1,,Landed,9H-MLW,A320,passenger
2026-03-13,2026-03-13 08:35,2026-03-13 08:21,Ho Chi Minh City,SGN,Vietnam Airlines,VN238,1,,Landed,VN-A398,A321,passenger
2025-12-27,2025-12-27 08:05,2025-12-27 08:10,Ho Chi Minh City,SGN,Vietnam Airlines,VN206,1,,Landed,VN-A615,A321,passenger
2026-03-13,2026-03-13 08:40,2026-03-13 08:19,Ho Chi Minh City,SGN,Sun Phuquoc Airways,9G806,1,,Landed,VN-A279,A321,passenger
2026-03-13,2026-03-13 08:25,2026-03-13 08:12,Ho Chi Minh City,SGN,Vietjet Air,VJ126,1,,Landed,VN-A539,A21N,passenger
2026-03-13,2026-03-13 08:05,2026-03-13 07:55,Ho Chi Minh City,SGN,Vietnam Airlines,VN206,1,,Landed,VN-A867,B789,passenger
2026-01-01,2026-01-01 15:05,2026-01-01 15:35,Ho Chi Minh City,SGN,Vietnam Airlines,VN248,1,,Landed,VN-A615,A321,passenger
2026-03-13,2026-03-13 07:50,2026-03-13 07:39,Ho Chi Minh City,SGN,Vietjet Air,VJ124,1,,Landed,VN-A548,A21N,passenger
2026-01-03,2026-01-03 20:05,2026-01-03 20:11,Ho Chi Minh City,SGN,Vietnam Airlines,VN218,1,,Landed,VN-A869,B789,passenger
2026-03-13,2026-03-13 07:05,2026-03-13 06:55,Ho Chi Minh City,SGN,Vietnam Airlines,VN6002,1,,Landed,VN-A363,A321,passenger
2026-01-03,2026-01-03 19:35,2026-01-03 20:08,Ho Chi Minh City,SGN,Vietnam Airlines,VN7210,1,,Landed,VN-A622,A21N,passenger
2026-03-14,2026-03-15 00:05,2026-03-14 23:50,Ho Chi Minh City,SGN,Vietnam Airlines,VN224,1,,Landed,VN-A605,A321,passenger
2026-01-07,2026-01-07 08:35,2026-01-07 08:47,Ho Chi Minh City,SGN,Vietnam Airlines,VN238,1,,Landed,VN-A615,A321,passenger
2026-03-14,2026-03-14 23:05,2026-03-14 23:06,Ho Chi Minh City,SGN,Vietnam Airlines,VN260,1,,Landed,VN-A869,B789,passenger
2026-03-14,2026-03-14 21:05,2026-03-14 20:59,Ho Chi Minh City,SGN,Vietnam Airlines,VN258,1,,Landed,VN-A878,B78X,passenger
2026-01-09,2026-01-09 19:20,2026-01-09 19:37,Ho Chi Minh City,SGN,Vietravel Airlines,VU780,1,,Landed,VN-A289,A321,passenger
2026-03-14,2026-03-14 21:10,2026-03-14 20:57,Ho Chi Minh City,SGN,Sun Phuquoc Airways,9G872,1,,Landed,VN-A281,A21N,passenger
2026-01-09,2026-01-10 11:05,2026-01-09 17:11,Ho Chi Minh City,SGN,Vietnam Airlines,VN244,1,,Landed,VN-A866,B789,passenger
2026-03-14,2026-03-14 20:35,2026-03-14 20:42,Ho Chi Minh City,SGN,Sun Phuquoc Airways,9G868,1,,Landed,VN-A279,A321,passenger
2026-03-14,2026-03-14 20:30,2026-03-14 20:26,Ho Chi Minh City,SGN,Vietjet Air,VJ158,1,,Landed,VN-A671,A320,passenger
2026-01-09,2026-01-09 14:10,2026-01-09 14:40,Ho Chi Minh City,SGN,Vietjet Air,VJ144,1,,Landed,VN-A814,A333,passenger
2026-01-10,2026-01-10 15:20,2026-01-10 15:45,Ho Chi Minh City,SGN,Vietravel Airlines,VU778,1,,Landed,9H-MLW,A320,passenger
2026-03-14,2026-03-14 19:05,2026-03-14 19:05,Ho Chi Minh City,SGN,Vietnam Airlines,VN254,1,,Landed,VN-A877,B78X,passenger
2026-03-14,2026-03-14 18:05,2026-03-14 17:58,Ho Chi Minh City,SGN,Vietnam Airlines,VN216,1,,Landed,VN-A879,B78X,passenger
2026-01-10,2026-01-10 13:05,2026-01-10 13:08,Ho Chi Minh City,SGN,Vietnam Airlines,VN246,1,,Landed,VN-A899,A359,passenger
2026-03-14,2026-03-14 17:35,2026-03-14 17:31,Ho Chi Minh City,SGN,Vietnam Airlines,VN232,1,,Landed,VN-A873,B78X,passenger
2026-03-14,2026-03-14 17:30,2026-03-14 17:27,Ho Chi Minh City,SGN,Vietjet Air,VJ194,1,,Landed,VN-A658,A320,passenger
2026-01-10,2026-01-10 10:05,2026-01-10 10:07,Ho Chi Minh City,SGN,Vietnam Airlines,VN208,1,,Landed,VN-A892,A359,passenger
2026-03-14,2026-03-14 16:05,2026-03-14 16:00,Ho Chi Minh City,SGN,Vietnam Airlines,VN214,1,,Landed,VN-A869,B789,passenger
2026-01-11,2026-01-11 21:40,2026-01-11 21:35,Ho Chi Minh City,SGN,Vietnam Airlines,VN262,1,,Landed,VN-A865,B789,passenger
2026-03-14,2026-03-14 15:35,2026-03-14 16:02,Ho Chi Minh City,SGN,Vietravel Airlines,VU770,1,,Landed,VN-A129,A321,passenger
2026-01-12,2026-01-12 10:25,2026-01-12 10:30,Ho Chi Minh City,SGN,Vietjet Air,VJ184,1,,Landed,VN-A536,A21N,passenger
2026-03-14,2026-03-14 15:25,2026-03-14 15:28,Ho Chi Minh City,SGN,Bamboo Airways,QH242,1,,Landed,ER-00005,A320,passenger
2026-03-14,2026-03-14 15:05,2026-03-14 15:16,Ho Chi Minh City,SGN,Vietnam Airlines,VN248,1,,Landed,VN-A894,A359,passenger
2026-01-13,2026-01-13 16:05,2026-01-13 17:25,Ho Chi Minh City,SGN,Vietnam Airlines,VN214,1,,Landed,VN-A872,B78X,passenger
2026-03-14,2026-03-14 15:10,2026-03-14 15:06,Ho Chi Minh City,SGN,Vietjet Air,VJ198,1,,Landed,VN-A677,A321,passenger
2026-01-13,2026-01-13 14:30,2026-01-13 14:38,Ho Chi Minh City,SGN,Sun Phuquoc Airways,9G838,1,,Landed,VN-A279,A321,passenger
2026-03-14,2026-03-14 14:10,2026-03-14 14:43,Ho Chi Minh City,SGN,Vietjet Air,VJ144,1,,Landed,VN-A524,A21N,passenger
2026-01-13,2026-01-13 11:35,2026-01-13 11:16,Ho Chi Minh City,SGN,Sun Phuquoc Airways,9G822,1,,Landed,VN-A280,A321,passenger
2026-03-14,2026-03-14 12:30,2026-03-14 12:28,Ho Chi Minh City,SGN,Bamboo Airways,QH224,1,,Landed,JU-1410,A320,passenger
2026-01-14,2026-01-14 18:05,2026-01-14 17:59,Ho Chi Minh City,SGN,Vietnam Airlines,VN216,1,,Landed,VN-A865,B789,passenger
2026-03-14,2026-03-14 12:10,2026-03-14 12:08,Ho Chi Minh City,SGN,Vietjet Air,VJ128,1,,Landed,VN-A676,A320,passenger
2026-03-14,2026-03-14 11:10,2026-03-14 11:03,Ho Chi Minh City,SGN,Vietjet Air,VJ132,1,,Landed,VN-A661,A321,passenger
2026-01-14,2026-01-14 12:30,2026-01-14 12:40,Ho Chi Minh City,SGN,Bamboo Airways,QH224,1,,Landed,JU-1410,A320,passenger
2026-03-14,2026-03-14 09:40,2026-03-14 09:20,Ho Chi Minh City,SGN,Sun Phuquoc Airways,9G808,1,,Landed,VN-A286,A21N,passenger
2026-01-15,2026-01-15 20:30,2026-01-15 20:39,Ho Chi Minh City,SGN,Vietjet Air,VJ158,1,,Landed,VN-A674,A21N,passenger
2026-03-14,2026-03-14 09:15,2026-03-14 09:03,Ho Chi Minh City,SGN,Vietravel Airlines,VU774,1,,Landed,9H-MLW,A320,passenger
2026-03-16,2026-03-16 00:05,2026-03-16 00:30,Ho Chi Minh City,SGN,Vietnam Airlines,VN224,1,,Landed,VN-A332,A321,passenger
2026-01-15,2026-01-15 18:05,2026-01-15 18:27,Ho Chi Minh City,SGN,Vietnam Airlines,VN216,1,,Landed,VN-A877,B78X,passenger
2026-03-15,2026-03-15 22:00,2026-03-15 23:44,Ho Chi Minh City,SGN,Vietjet Air,VJ190,1,,Landed,VN-A542,A321,passenger
2026-01-15,2026-01-15 17:05,2026-01-15 17:24,Ho Chi Minh City,SGN,Vietnam Airlines,VN250,1,,Landed,VN-A879,B78X,passenger
2026-03-15,2026-03-15 23:05,2026-03-15 23:11,Ho Chi Minh City,SGN,Vietnam Airlines,VN260,1,,Landed,VN-A889,A359,passenger
2026-03-15,2026-03-15 23:00,2026-03-15 22:50,Ho Chi Minh City,SGN,Bamboo Airways,QH286,1,,Landed,VN-A227,A321,passenger
2026-01-15,2026-01-15 14:05,2026-01-15 14:59,Ho Chi Minh City,SGN,Vietnam Airlines,VN212,1,,Landed,VN-A625,A21N,passenger
2026-03-15,2026-03-15 22:35,2026-03-15 22:45,Ho Chi Minh City,SGN,Vietnam Airlines,VN256,1,,Landed,VN-A864,B789,passenger
2026-03-15,2026-03-15 21:45,2026-03-15 22:41,Ho Chi Minh City,SGN,Bamboo Airways,QH268,1,,Landed,JU-1410,A320,passenger
2026-01-15,2026-01-15 14:10,2026-01-15 14:31,Ho Chi Minh City,SGN,Vietjet Air,VJ144,1,,Landed,VN-A815,A333,passenger
2026-03-15,2026-03-15 22:05,2026-03-15 22:12,Ho Chi Minh City,SGN,Vietnam Airlines,VN220,1,,Landed,VN-A878,B78X,passenger
2026-01-15,2026-01-15 12:05,2026-01-15 12:20,Ho Chi Minh City,SGN,Vietnam Airlines,VN210,1,,Landed,VN-A877,B78X,passenger
2026-03-15,2026-03-15 21:20,2026-03-15 21:27,Ho Chi Minh City,SGN,Vietjet Air,VJ196,1,,Landed,VN-A810,A333,passenger
2026-01-15,2026-01-15 11:10,2026-01-15 11:12,Ho Chi Minh City,SGN,Vietjet Air,VJ132,1,,Landed,VN-A552,A21N,passenger
2026-03-15,2026-03-15 20:35,2026-03-15 21:14,Ho Chi Minh City,SGN,Sun Phuquoc Airways,9G868,1,,Landed,VN-A279,A321,passenger
2026-01-15,2026-01-15 08:20,2026-01-15 08:14,Ho Chi Minh City,SGN,Vietnam Airlines,VN7042,1,,Landed,VN-A331,A321,passenger
2026-03-15,2026-03-15 20:05,2026-03-15 19:58,Ho Chi Minh City,SGN,Vietnam Airlines,VN218,1,,Landed,VN-A863,B789,passenger
2026-01-15,2026-01-15 07:50,2026-01-15 07:37,Ho Chi Minh City,SGN,Vietjet Air,VJ124,1,,Landed,VN-A815,A333,passenger
2026-03-15,2026-03-15 19:20,2026-03-15 19:46,Ho Chi Minh City,SGN,Vietravel Airlines,VU780,1,,Landed,VN-A289,A321,passenger
2026-03-15,2026-03-15 19:15,2026-03-15 19:14,Ho Chi Minh City,SGN,Vietjet Air,VJ152,1,,Landed,VN-A641,A321,passenger
2026-01-16,2026-01-16 23:35,2026-01-16 23:25,Ho Chi Minh City,SGN,Sun Phuquoc Airways,9G882,1,,Landed,VN-A280,A321,passenger
2026-03-15,2026-03-15 19:05,2026-03-15 19:06,Ho Chi Minh City,SGN,Vietnam Airlines,VN254,1,,Landed,VN-A890,A359,passenger
2026-01-16,2026-01-16 21:10,2026-01-16 21:21,Ho Chi Minh City,SGN,Sun Phuquoc Airways,9G872,1,,Landed,VN-A284,A21N,passenger
2026-03-15,2026-03-15 18:45,2026-03-15 18:44,Ho Chi Minh City,SGN,Vietnam Airlines,VN252,1,,Landed,VN-A872,B78X,passenger
2026-01-16,2026-01-17 19:20,2026-01-16 21:17,Ho Chi Minh City,SGN,Vietravel Airlines,VU780,1,,Landed,VN-A289,A321,passenger
2026-03-15,2026-03-15 18:05,2026-03-15 17:59,Ho Chi Minh City,SGN,Vietnam Airlines,VN216,1,,Landed,VN-A879,B78X,passenger
2026-01-16,2026-01-16 20:30,2026-01-16 21:01,Ho Chi Minh City,SGN,Vietjet Air,VJ158,1,,Landed,VN-A667,A321,passenger
2026-03-15,2026-03-15 17:35,2026-03-15 17:25,Ho Chi Minh City,SGN,Vietnam Airlines,VN232,1,,Landed,VN-A886,A359,passenger
2026-03-15,2026-03-15 17:05,2026-03-15 17:04,Ho Chi Minh City,SGN,Vietnam Airlines,VN250,1,,Landed,VN-A861,B789,passenger
2026-01-16,2026-01-16 20:05,2026-01-16 20:07,Ho Chi Minh City,SGN,Vietnam Airlines,VN218,1,,Landed,VN-A879,B78X,passenger
2026-03-15,2026-03-15 16:45,2026-03-15 16:51,Ho Chi Minh City,SGN,Vietjet Air,VJ172,1,,Landed,VN-A811,A333,passenger
