Crawl_Date,Scheduled_Time,Actual_Time,Destination,IATA,Airline,Flight_No,Checkin_Time,Terminal,Checkin_Counter,Gate,Status,Tail_Number,Aircraft_Type,Category,Is_Fixed_Flight,Departure_Runway
2025-12-16,08:25,08:25,Phu Quoc Island,PQC,VietJet Air,VJ719,06:25,1,27-34,5.0,Departed,VN-A676,A320,passenger,0,35R
2025-12-16,08:30,08:30,Hanoi,HAN,Vietravel Airlines,VU638,06:30,1,22-24,6.0,Departed,VN-A129,A321,passenger,0,35R
2025-12-16,09:00,09:00,Ho Chi Minh City,SGN,Vietnam Airlines,VN109,07:00,1,3-16,7.0,Departed,VN-A332,A321,passenger,0,35R
2025-12-16,09:00,09:00,Manila,MNL,Cebu Pacific,5J5759,06:00,2,7-10,5.0,Departed,RP-C4110,A20N,passenger,1,35R
2025-12-16,09:25,09:25,Hanoi,HAN,VietJet Air,VJ504,07:25,1,27-34,5.0,Departed,VN-A637,A321,passenger,0,35R
2025-12-16,09:30,09:30,Hanoi,HAN,Bamboo Airways,QH104,07:30,1,43-45,3.0,Departed,VN-A597,A321,passenger,0,35R
2025-12-16,09:30,09:30,Haiphong,HPH,Vietnam Airlines,VN1670,07:30,1,3-16,4.0,Departed,VN-A395,A321,passenger,0,35R
2025-12-16,09:40,09:40,Bangkok,DMK,Thai Air Asia,FD635,06:40,2,49-51,7.0,Departed,HS-EAC,A21N,passenger,1,35R
2025-12-16,09:50,09:50,Kuala Lumpur,KUL,VietJet Air,VJ827,06:50,2,30-32,8.0,Departed,VN-A629,A321,passenger,0,35R
2025-12-16,09:50,09:50,Hanoi,HAN,Vietnam Airlines,VN164,07:50,1,3-16,6.0,Departed,VN-A329,A321,passenger,0,35R
2025-12-16,10:05,10:05,Ho Chi Minh City,SGN,Vietnam Airlines,VN113,08:05,1,3-16,7.0,Departed,VN-A326,A321,passenger,0,35R
2025-12-16,10:05,10:05,Hong Kong,HKG,Hong Kong Express Airways,UO553,07:05,2,12-15,4.0,Departed,B-HSN,A320,passenger,1,35R
2025-12-16,10:10,10:10,Jakarta,CGK,VietJet Air,VJ951,00:00,0,,,,,,general aviation,0,
2025-12-16,10:10,10:10,Ho Chi Minh City,SGN,VietJet Air,VJ625,08:10,1,27-34,5.0,Departed,VN-A635,A321,passenger,0,35R
2025-12-16,10:15,10:15,Hanoi,HAN,Vietnam Airlines,VN6080,08:25,1,18-20,4.0,Departed,VN-A363,A321,passenger,1,Unknown
2025-12-16,11:05,11:05,Ho Chi Minh City,SGN,Vietravel Airlines,VU673,09:05,1,21-24,6.0,Departed,VN-A136,A320,passenger,0,35R
2025-12-16,11:05,11:05,Ho Chi Minh City,SGN,Vietnam Airlines,VN119,09:05,1,3-16,7.0,Departed,VN-A505,A21N,passenger,0,35R
2025-12-16,11:15,11:20,Ho Chi Minh City,SGN,VietJet Air,VJ627,09:20,1,27-34,5.0,Departed,VN-A549,A21N,passenger,0,35R
2025-12-16,11:20,11:50,Kuala Lumpur,KUL,Air Asia,AK643,08:20,2,46-48,10.0,Departed,9M-RAO,A320,passenger,1,35R
2025-12-16,11:25,11:25,Kuala Lumpur,KUL,Malaysia Airlines,MH747,08:25,2,17-20,5.0,Departed,9M-MXH,B738,passenger,1,35R
2025-12-16,11:50,11:50,Singapore,SIN,Singapore Airlines,SQ171,08:50,2,21-24,4.0,Departed,9V-MBG,B38M,passenger,0,35R
2025-12-16,11:55,11:55,Seoul,ICN,T'Way Air,TW8,08:55,2,35-38,7.0,Departed,HL8513,B38M,passenger,1,35R
2025-12-16,12:05,12:05,Singapore,SIN,VietJet Air,VJ973,09:05,2,32-34,9.0,Departed,VN-A630,A321,passenger,0,35R
2025-12-16,12:05,12:05,Ho Chi Minh City,SGN,VietJet Air,VJ633,10:05,1,27-34,3.0,Departed,VN-A656,A320,passenger,0,35R
2025-12-16,12:15,12:15,Hanoi,HAN,Vietnam Airlines,VN166,10:15,1,3-16,4.0,Departed,VN-A605,A321,passenger,0,35R
2025-12-16,12:15,12:15,Ho Chi Minh City,SGN,Vietnam Airlines,VN123,10:15,1,3-16,6.0,Departed,VN-A338,A321,passenger,0,35R
2025-12-16,12:15,12:15,Macau,MFM,VietJet Air,VJ8890,09:15,2,29-31,8.0,Departed,VN-A667,A321,passenger,0,35R
2025-12-16,12:20,14:25,Kuala Lumpur,KUL,Air Asia,AK649,09:20,2,39-41,9.0,Departed,9M-AQI,A320,passenger,1,35R
2025-12-16,12:20,12:25,Hanoi,HAN,VietJet Air,VJ508,10:25,1,27-34,5.0,Departed,VN-A632,A321,passenger,0,35R
2025-12-16,12:25,12:25,Hong Kong,HKG,Hong Kong Express Airways,UO563,09:25,2,12-15,5.0,Departed,B-LCH,A320,passenger,0,35R
2025-12-16,12:30,12:30,Macau,MFM,Bamboo Airways,QH9588,09:30,2,1-3,2.0,Departed,VN-A585,A321,passenger,0,35R
2025-12-16,12:40,13:10,Bangkok,DMK,Thai Air Asia,FD637,09:40,2,49-51,10.0,Departed,HS-ABA,A320,passenger,1,35R
2025-12-16,13:00,13:00,Taipei,TPE,Eva Air,BR384,10:00,2,4-11,6.0,Departed,B-16337,A333,passenger,1,35R
2025-12-16,13:00,13:00,Can Tho,VCA,VietJet Air,VJ703,11:00,1,27-34,4.0,Departed,VN-A676,A320,passenger,0,35R
2025-12-16,13:05,13:05,Ho Chi Minh City,SGN,Vietnam Airlines,VN127,11:05,1,3-16,7.0,Departed,VN-A332,A321,passenger,0,35R
2025-12-16,13:05,13:15,Kuala Lumpur,KUL,Batik Air Malaysia,OD503,10:05,2,42-45,4.0,Departed,9M-LRD,B38M,passenger,0,35R
2025-12-16,13:15,13:15,Bangkok,BKK,Thai Vietjet,VZ961,10:15,2,52-54,7.0,Departed,HS-VKR,A321,passenger,0,35R
2025-12-16,13:15,13:15,Hanoi,HAN,Vietnam Airlines,VN168,11:15,1,3-16,6.0,Departed,VN-A613,A321,passenger,0,35R
2025-12-16,13:20,13:20,Buon Ma Thuot,BMV,Vietnam Airlines,VN1911,11:20,1,3-16,9.0,Departed,VN-A395,A321,passenger,0,35R
2025-12-16,13:40,13:40,Ho Chi Minh City,SGN,Vietnam Airlines,VN7131,11:40,1,3-16,5.0,Departed,VN-A334,A321,passenger,0,35R
2025-12-16,13:40,13:40,Hanoi,HAN,Vietnam Airlines,VN170,11:40,0,3-16,,,,,general aviation,0,
2025-12-16,13:50,13:50,Ho Chi Minh City,SGN,VietJet Air,VJ635,11:50,1,27-34,6.0,Departed,VN-A668,A320,passenger,0,35R
2025-12-16,14:00,14:10,Ho Chi Minh City,SGN,Vietnam Airlines,VN129,12:10,1,3-16,9.0,Departed,VN-A336,A321,passenger,0,35R
2025-12-16,14:15,14:30,Ho Chi Minh City,SGN,Vietnam Airlines,VN6037,12:30,1,18-21,4.0,Departed,VN-A354,A321,passenger,0,Unknown
2025-12-16,14:25,14:45,Seoul,ICN,Jeju Air,7C2212,11:14,2,30-33,4.0,Departed,HL7213,B738,passenger,1,35R
2025-12-16,14:30,14:30,Manila,MNL,Philippine Airlines,PR586,11:30,2,16-20,5.0,Departed,RP-C9916,A321,passenger,0,35R
2025-12-16,15:05,15:05,Hanoi,HAN,Vietnam Airlines,VN172,13:05,1,3-16,6.0,Departed,VN-A329,A321,passenger,0,35R
2025-12-16,15:10,15:10,Seoul,ICN,VietJet Air,VJ874,12:10,2,34-36,8.0,Departed,VN-A687,A321,passenger,0,35R
2025-12-16,15:15,15:15,Bangkok,BKK,Vietnam Airlines,VN627,12:15,2,21-25,3.0,Departed,VN-A501,A21N,passenger,1,35R
2025-12-16,15:25,15:35,Hanoi,HAN,VietJet Air,VJ514,13:35,1,27-34,5.0,Departed,VN-A643,A321,passenger,0,35R
2025-12-16,15:30,15:30,Ho Chi Minh City,SGN,Vietnam Airlines,VN133,13:30,1,3-16,7.0,Departed,VN-A393,A321,passenger,0,35R
2025-12-16,15:35,15:45,Nha Trang,CXR,VietJet Air,VJ581,13:45,1,27-34,4.0,Departed,VN-A684,A321,passenger,0,35R
2025-12-16,15:45,16:35,Kuala Lumpur,KUL,Air Asia,AK641,12:45,2,37-39,2.0,Departed,9M-AJH,A320,passenger,1,35R
2025-12-16,15:45,15:45,Seoul,ICN,Korean Air,KE458,12:45,2,43-47,6.0,Departed,HL8345,B789,passenger,1,35R
2025-12-16,15:50,16:30,Phu Quoc Island,PQC,VietJet Air,VJ1719,14:30,1,27-34,2.0,Departed,VN-A648,A321,passenger,0,35R
2025-12-16,16:05,16:05,Busan,PUS,Korean Air,KE8452,13:05,2,48-51,7.0,Departed,HL7709,A333,passenger,1,35R
2025-12-16,16:25,16:25,Siem Reap,SAI,Air Cambodia,K6841,13:25,2,12-15,4.0,Departed,ER-00011,A320,passenger,0,35R
2025-12-16,16:30,16:30,Singapore,SIN,Singapore Airlines,SQ173,13:30,2,9-10,5.0,Departed,9V-MBM,B38M,passenger,1,35R
2025-12-16,16:55,16:55,Hong Kong,HKG,Hong Kong Airlines,HX549,13:55,0,16-20,6.0,Departed,B-LPR,A321,general aviation,1,35R
2025-12-16,17:00,17:00,Da Lat,DLI,VietJet Air,VJ729,15:00,1,27-34,5.0,Departed,VN-A676,A320,passenger,0,35R
2025-12-16,17:05,17:05,Bangkok,BKK,VietJet Air,VJ1963,14:05,2,40-42,1.0,Last Call,VN-A629,A321,passenger,0,35R
2025-12-16,17:10,17:10,Haiphong,HPH,VietJet Air,VJ722,15:10,1,27-34,3.0,Departed,VN-A656,A320,passenger,0,35R
2025-12-16,17:10,17:10,Hanoi,HAN,Vietnam Airlines,VN174,15:10,1,3-16,6.0,Departed,VN-A339,A321,passenger,0,35R
2025-12-16,17:25,17:25,Ho Chi Minh City,SGN,Vietnam Airlines,VN135,15:25,1,3-16,7.0,Departed,VN-A395,A321,passenger,0,35R
2025-12-16,17:30,17:30,Nha Trang,CXR,Vietnam Airlines,VN1941,15:30,1,3-16,4.0,Departed,VN-A353,A321,passenger,0,35R
2025-12-16,17:35,17:35,Taipei,TPE,China Airlines,CI790,14:35,2,30-34,7.0,Departed,B-18103,A21N,passenger,1,35R
2025-12-16,17:40,17:40,Ho Chi Minh City,SGN,VietJet Air,VJ639,15:40,1,27-34,5.0,Departed,VN-A668,A320,passenger,0,35R
2025-12-16,18:15,18:15,Hanoi,HAN,VietJet Air,VJ516,16:15,1,27-34,4.0,Departed,VN-A672,A320,passenger,0,35R
2025-12-16,18:15,18:15,Hanoi,HAN,Vietnam Airlines,VN180,16:15,1,3-16,9.0,Departed,VN-A514,A20N,passenger,0,35R
2025-12-16,18:20,18:20,Hanoi,HAN,Bamboo Airways,QH148,16:20,1,43-45,6.0,Departed,VN-A227,A321,passenger,0,35R
2025-12-16,18:25,18:25,Taipei,TPE,Starlux Airlines,JX704,15:25,0,4-8,5.0,Departed,B-58202,A21N,general aviation,0,35R
2025-12-16,18:30,18:30,Hong Kong,HKG,Hong Kong Express Airways,UO559,15:30,2,21-24,6.0,Departed,B-LCH,A320,passenger,1,35R
2025-12-16,18:40,18:40,Ho Chi Minh City,SGN,Bamboo Airways,QH171,16:40,1,43-45,3.0,Departed,VN-A585,A321,passenger,0,35R
2025-12-16,18:45,18:45,Hanoi,HAN,Vietnam Airlines,VN7196,16:45,1,3-16,7.0,Departed,VN-A336,A321,passenger,0,35R
2025-12-16,18:45,18:55,Ho Chi Minh City,SGN,Vietnam Airlines,VN137,16:55,1,3-16,5.0,Departed,VN-A603,A321,passenger,0,35R
2025-12-16,18:45,18:45,Macau,MFM,VietJet Air,VJ8892,15:45,2,49-51,9.0,Boarding,VN-A667,A321,passenger,0,35R
2025-12-16,18:50,19:45,Bangkok,DMK,Thai Air Asia,FD639,15:50,2,44-46,4.0,Departed,HS-CBB,A20N,passenger,1,35R
2025-12-16,18:55,18:55,Hanoi,HAN,Vietravel Airlines,VU658,16:55,1,22-24,6.0,Departed,VN-A129,A321,passenger,0,35R
2025-12-16,19:10,19:10,Hanoi,HAN,Vietnam Airlines,VN188,17:10,1,3-16,9.0,Departed,VN-A513,A20N,passenger,0,35R
2025-12-16,19:15,20:10,Kaohsiung,KHH,Tigerair Taiwan,IT586,16:15,2,12-15,6.0,Departed,B-50008,A320,passenger,0,35R
2025-12-16,20:00,20:00,Taipei,TPE,Tigerair Taiwan,IT552,17:00,2,17-18,7.0,Departed,B-50005,A320,passenger,1,35R
2025-12-16,20:20,20:20,Ho Chi Minh City,SGN,VietJet Air,VJ649,18:20,1,27-34,4.0,Departed,VN-A676,A320,passenger,0,35R
2025-12-16,20:20,20:30,Hanoi,HAN,Vietnam Airlines,VN6070,18:30,1,18-21,5.0,Departed,VN-A363,A321,passenger,0,Unknown
2025-12-16,20:45,20:45,Ho Chi Minh City,SGN,VietJet Air,VJ637,18:45,1,27-34,6.0,Departed,VN-A656,A320,passenger,0,35R
2025-12-16,20:45,21:30,Ho Chi Minh City,SGN,Vietnam Airlines,VN143,19:30,1,3-16,7.0,Departed,VN-A601,A321,passenger,0,35R
2025-12-16,20:55,21:30,Hanoi,HAN,VietJet Air,VJ518,19:30,1,27-34,5.0,Departed,VN-A648,A321,passenger,0,35R
2025-12-16,21:15,21:15,Ho Chi Minh City,SGN,Vietravel Airlines,VU685,19:15,1,21-24,4.0,Departed,9H-MLW,A320,passenger,0,35R
2025-12-16,21:50,21:50,Seoul,ICN,Air Premia,YP622,18:50,2,38-45,5.0,Departed,HL8702,B789,passenger,0,35R
2025-12-16,22:10,22:10,Manila,MNL,VietJet Air,VJ2840,19:10,2,35-37,8.0,Departed,VN-A636,A321,passenger,0,35R
2025-12-16,22:30,22:30,Manila,MNL,Cebu Pacific,5J5757,19:30,2,19-22,4.0,Departed,RP-C4123,A21N,passenger,1,35R
2025-12-16,22:30,22:30,Ho Chi Minh City,SGN,VietJet Air,VJ647,20:30,1,27-34,6.0,Departed,VN-A546,A21N,passenger,0,35R
2025-12-16,22:55,22:55,Hanoi,HAN,Vietnam Airlines,VN7192,20:55,0,3-16,,,,,general aviation,0,
2025-12-16,23:00,23:00,Seoul,ICN,Asiana Airlines,OZ756,20:00,2,2-6,5.0,Departed,HL8586,A21N,passenger,1,35R
2025-12-16,23:15,23:15,Ho Chi Minh City,SGN,VietJet Air,VJ643,21:15,1,27-34,5.0,Departed,VN-A663,A320,passenger,0,35R
2025-12-16,23:20,23:20,Seoul,ICN,Korean Air,KE460,20:20,2,46-53,6.0,Departed,HL7209,B789,passenger,1,35R
2025-12-16,23:30,23:30,Seoul,ICN,Vietnam Airlines,VN430,20:30,2,23-27,1.0,Departed,VN-A501,A21N,passenger,1,35R
2025-12-16,23:35,23:35,Seoul,ICN,T'Way Air,TW12,20:35,2,"28, 34",2.0,Gate Closed,HL8047,B738,passenger,1,35R
2025-12-16,23:40,23:40,Seoul,ICN,VietJet Air,VJ878,20:40,2,7-9,8.0,Last Call,VN-A629,A321,passenger,1,35R
2025-12-16,23:55,23:55,Macau,MFM,Air Macau,NX975,20:55,0,54,3.0,Last Call,B-MBU,A21N,general aviation,1,35R
2025-12-17,00:30,00:30,Tokyo,NRT,Vietnam Airlines,VN318,21:30,2,20-22,2.0,Departed,VN-A398,A321,passenger,0,35R
2025-12-17,00:30,00:30,Macau,MFM,Air Macau,NX977,21:30,0,35-37,4.0,Departed,B-MCH,A320,general aviation,1,35R
2025-12-17,00:30,00:30,Busan,PUS,VietJet Air,VJ988,21:30,2,10-12,9.0,Departed,VN-A667,A321,passenger,0,35R
2025-12-17,00:40,01:20,Seoul,ICN,Air Seoul,RS512,21:40,2,38-41,8.0,Departed,HL8073,A321,passenger,1,35R
2025-12-17,00:45,00:45,Busan,PUS,Air Busan,BX774,21:45,0,16-19,6.0,Departed,HL8055,A320,general aviation,1,35R
2025-12-17,00:55,00:55,Busan,PUS,Jin Air,LJ184,21:55,2,42-45,5.0,Departed,HL8014,B738,passenger,0,35R
2025-12-17,01:00,01:00,Daegu,TAE,T'Way Air,TW30,22:00,2,28-31,10.0,Departed,HL8329,B738,passenger,0,35R
2025-12-17,01:05,01:35,Busan,PUS,Jin Air,LJ112,21:46,2,50-53,3.0,Departed,HL8016,B738,passenger,1,35R
2025-12-17,01:20,01:20,Seoul,ICN,Eastar Jet,ZE594,22:20,2,2-5,7.0,Departed,HL8543,B38M,passenger,1,35R
2025-12-17,01:30,01:50,Seoul,ICN,T'Way Air,TW14,22:30,2,33-34,10.0,Departed,HL8379,B738,passenger,1,35R
2025-12-17,02:00,02:00,Busan,PUS,Air Busan,BX7325,22:20,0,14-15,4.0,Departed,HL8365,A321,general aviation,1,35R
2025-12-17,02:00,03:10,Cheongju,CJJ,Aero-K Airlines,RF532,23:00,2,46-49,9.0,Departed,HL8562,A320,passenger,1,35R
2025-12-17,03:00,03:00,Busan,PUS,Korean Air,KE2094,00:00,2,19-25,6.0,Departed,HL7585,A333,passenger,1,35R
2025-12-17,05:45,05:45,Hanoi,HAN,VietJet Air,VJ502,03:45,1,27-34,5.0,Departed,VN-A656,A320,passenger,0,35R
2025-12-17,05:45,05:45,Da Lat,DLI,Vietnam Airlines,VN1955,03:45,1,3-16,9.0,Departed,VN-A353,A321,passenger,0,35R
2025-12-17,06:00,06:00,Ho Chi Minh City,SGN,Vietnam Airlines,VN101,04:00,1,3-16,4.0,Departed,VN-A604,A321,passenger,0,35R
2025-12-17,06:25,06:25,Ho Chi Minh City,SGN,VietJet Air,VJ621,04:25,1,27-34,6.0,Departed,VN-A687,A321,passenger,0,35R
2025-12-17,06:35,06:35,Hanoi,HAN,Vietnam Airlines,VN156,04:35,1,3-16,7.0,Departed,VN-A326,A321,passenger,0,35R
2025-12-17,07:00,07:00,Bangkok,BKK,VietJet Air,VJ1965,00:00,0,,,,,,general aviation,0,
2025-12-17,07:50,07:50,Hanoi,HAN,VietJet Air,VJ506,05:50,1,27-34,3.0,Departed,VN-A535,A321,passenger,1,35R
2025-12-17,07:55,07:55,Hanoi,HAN,Vietnam Airlines,VN158,05:55,1,3-16,4.0,Departed,VN-A503,A21N,passenger,0,35R
2025-12-17,08:00,08:00,Ho Chi Minh City,SGN,Vietnam Airlines,VN107,06:00,1,3-16,5.0,Departed,VN-A396,A321,passenger,0,35R
2025-12-17,08:10,08:10,Ho Chi Minh City,SGN,Bamboo Airways,QH151,06:10,1,43-45,6.0,Departed,JU-1410,A320,passenger,0,35R
2025-12-17,08:30,08:30,Hanoi,HAN,Vietravel Airlines,VU638,06:30,1,22-24,7.0,Departed,VN-A136,A320,passenger,0,35R
2025-12-17,08:55,08:55,Ho Chi Minh City,SGN,Vietnam Airlines,VN109,06:55,1,3-16,4.0,Departed,VN-A608,A321,passenger,0,35R
2025-12-17,09:30,09:30,Haiphong,HPH,Vietnam Airlines,VN1670,07:30,1,3-16,5.0,Departed,VN-A353,A321,passenger,0,35R
2025-12-17,09:40,09:40,Bangkok,DMK,Thai Air Asia,FD635,06:40,2,34-36,5.0,Departed,HS-EAB,A21N,passenger,1,35R
2025-12-17,09:50,09:50,Hanoi,HAN,Vietnam Airlines,VN164,07:50,1,3-16,6.0,Departed,VN-A356,A321,passenger,0,35R
2025-12-17,09:50,09:50,Kuala Lumpur,KUL,VietJet Air,VJ827,06:50,2,45-46,8.0,Departed,VN-A636,A321,passenger,0,35R
2025-12-17,10:00,10:05,Ho Chi Minh City,SGN,Vietnam Airlines,VN113,08:05,1,3-16,7.0,Departed,VN-A611,A321,passenger,0,35R
2025-12-17,10:05,10:05,Hong Kong,HKG,Hong Kong Express Airways,UO553,07:05,2,14-17,7.0,Departed,B-LCJ,A320,passenger,1,35R
2025-12-17,10:10,10:20,Ho Chi Minh City,SGN,VietJet Air,VJ625,08:20,1,27-34,4.0,Departed,VN-A653,A21N,passenger,0,35R
2025-12-17,10:10,10:10,Jakarta,CGK,VietJet Air,VJ951,00:00,0,,,,,,general aviation,0,
2025-12-17,10:15,10:15,Hanoi,HAN,Vietnam Airlines,VN6080,08:25,1,18-21,5.0,Departed,VN-A363,A321,passenger,1,Unknown
2025-12-17,10:15,10:25,Phu Quoc Island,PQC,VietJet Air,VJ719,08:25,1,27-34,3.0,Departed,VN-A687,A321,passenger,0,35R
2025-12-17,10:20,10:35,Taipei,TPE,China Airlines,CI788,07:20,2,30-33,4.0,Departed,B-18120,A21N,passenger,1,35R
2025-12-17,11:00,11:00,Ho Chi Minh City,SGN,Vietnam Airlines,VN119,09:00,1,3-16,7.0,Departed,VN-A395,A321,passenger,0,35R
2025-12-17,11:05,11:05,Ho Chi Minh City,SGN,Vietravel Airlines,VU673,09:05,1,22-25,6.0,Departed,9H-MLW,A320,passenger,0,35R
2025-12-17,11:15,11:30,Ho Chi Minh City,SGN,VietJet Air,VJ627,09:30,1,27-34,4.0,Departed,VN-A642,A321,passenger,0,35R
2025-12-17,11:20,11:20,Hanoi,HAN,VietJet Air,VJ528,09:20,1,27-34,5.0,Departed,VN-A633,A321,passenger,0,35R
2025-12-17,11:20,11:20,Kuala Lumpur,KUL,Air Asia,AK643,08:20,2,37-39,6.0,Departed,9M-AJN,A320,passenger,1,35R
2025-12-17,11:50,12:00,Singapore,SIN,Singapore Airlines,SQ171,08:50,2,22-25,4.0,Departed,9V-MBC,B38M,passenger,0,35R
2025-12-17,11:55,11:55,Seoul,ICN,T'Way Air,TW8,08:55,2,18-21,5.0,Departed,HL8513,B38M,passenger,1,35R
2025-12-17,12:00,12:00,Ho Chi Minh City,SGN,Vietnam Airlines,VN123,10:00,1,3-16,7.0,Departed,VN-A396,A321,passenger,0,35R
2025-12-17,12:05,12:05,Ho Chi Minh City,SGN,VietJet Air,VJ633,10:05,1,27-34,3.0,Departed,VN-A629,A321,passenger,0,35R
2025-12-17,12:05,12:05,Singapore,SIN,VietJet Air,VJ973,09:05,2,48-50,9.0,Departed,VN-A535,A321,passenger,0,35R
2025-12-17,12:10,12:25,Hanoi,HAN,Vietnam Airlines,VN166,10:25,1,3-16,6.0,Departed,VN-A612,A321,passenger,0,35R
2025-12-17,12:15,12:15,Macau,MFM,VietJet Air,VJ8890,09:15,2,45-47,10.0,Departed,VN-A667,A321,passenger,0,35R
2025-12-17,12:20,12:20,Hanoi,HAN,VietJet Air,VJ508,10:20,1,27-34,4.0,Departed,VN-A644,A321,passenger,0,35R
2025-12-17,12:20,12:20,Kuala Lumpur,KUL,Air Asia,AK649,09:20,2,34-36,2.0,Departed,9M-RAG,A320,passenger,1,35R
2025-12-17,12:25,12:25,Hong Kong,HKG,Hong Kong Express Airways,UO563,09:25,2,14-17,3.0,Departed,B-LEK,A321,passenger,0,35R
2025-12-17,12:25,12:25,Manila,MNL,Philippine Airlines,PR586,09:25,0,26,,,,,general aviation,0,
2025-12-17,12:30,12:30,Macau,MFM,Bamboo Airways,QH9588,09:30,2,1-3,1.0,Departed,VN-A585,A321,passenger,0,35R
2025-12-17,12:40,12:40,Bangkok,DMK,Thai Air Asia,FD637,09:40,2,30-32,5.0,Departed,HS-BBL,A320,passenger,1,35R
2025-12-17,13:00,13:00,Taipei,TPE,Eva Air,BR384,10:00,2,6-13,7.0,Departed,B-16340,A333,passenger,1,35R
2025-12-17,13:00,13:00,Can Tho,VCA,VietJet Air,VJ703,11:00,1,27-34,3.0,Departed,VN-A661,A321,passenger,0,35R
2025-12-17,13:00,13:15,Ho Chi Minh City,SGN,Vietnam Airlines,VN127,11:15,1,3-16,5.0,Departed,VN-A327,A321,passenger,0,35R
2025-12-17,13:05,13:35,Kuala Lumpur,KUL,Batik Air Malaysia,OD503,10:05,2,41-44,4.0,Departed,9M-LRV,B38M,passenger,0,35R
2025-12-17,13:15,13:15,Bangkok,BKK,Thai Vietjet,VZ961,10:15,2,51-53,8.0,Departed,HS-VKR,A321,passenger,0,35R
2025-12-17,13:20,13:20,Can Tho,VCA,Vietnam Airlines,VN1441,11:20,1,3-16,7.0,Departed,VN-A353,A321,passenger,0,35R
2025-12-17,13:30,13:55,Ho Chi Minh City,SGN,VietJet Air,VJ635,11:55,1,27-34,4.0,Departed,VN-A685,A321,passenger,0,35R
2025-12-17,13:50,13:50,Hanoi,HAN,Vietnam Airlines,VN170,11:50,1,3-16,6.0,Departed,VN-A505,A21N,passenger,0,35R
2025-12-17,14:00,14:20,Ho Chi Minh City,SGN,Vietnam Airlines,VN129,12:20,1,3-16,9.0,Departed,VN-A398,A321,passenger,0,35R
2025-12-17,14:15,14:50,Ho Chi Minh City,SGN,Vietnam Airlines,VN6037,12:50,1,18-21,7.0,Departed,VN-A359,A321,passenger,0,Unknown
2025-12-17,14:25,14:25,Taichung,RMQ,Bamboo Airways,QH9516,11:25,2,3-5,3.0,Departed,VN-A597,A321,passenger,0,35R
