Crawl_Date,Scheduled_Time,Actual_Time,Destination,IATA,Airline,Flight_No,Terminal,Departure_Runway,Status,Scheduled_Tail,Aircraft_Type,Is_Fixed_Flight,Category
2025-12-16,21:35,22:00,Ho Chi Minh City,SGN,Bamboo Airways,QH281,1,11R,Departed,ER-00005,A320,0,passenger
2025-12-16,21:25,21:44,Shanghai,PVG,VietJet Air,VJ7238,2,11R,Departed,VN-A689,A320,0,passenger
2025-12-16,21:20,21:40,Ho Chi Minh City,SGN,Vietnam Airlines,VN7225,1,11R,Departed,VN-A329,A321,0,passenger
2025-12-16,21:00,21:37,Ho Chi Minh City,SGN,Vietravel Airlines,VU791,1,11R,Departed,VN-A129,A321,0,passenger
2025-12-16,20:50,21:34,Bangkok,DMK,AirAsia,FD645,2,11R,Departed,HS-EAF,A21N,0,passenger
2025-12-16,20:15,21:29,Da Nang,DAD,VietJet Air,VJ501,1,11R,Departed,VN-A535,A321,0,passenger
2025-12-16,23:06,21:23,Ho Chi Minh City,SGN,Sun PhuQuoc Airways,9G885,1,11R,Departed,VN-A280,A321,0,passenger
2025-12-16,21:05,21:14,Da Nang,DAD,Vietnam Airlines,VN7193,1,11R,Departed,VN-A398,A321,0,passenger
2025-12-16,21:00,21:11,Ho Chi Minh City,SGN,Vietnam Airlines,VN221,1,11R,Departed,VN-A602,A321,1,passenger
2025-12-16,20:55,21:05,Chengdu,TFU,VietJet Air,VJ7306,2,11R,Departed,VN-A697,A21N,0,passenger
2025-12-16,20:40,20:59,Chongqing,CKG,West Air,PN6424,2,11R,Departed,B-302F,A20N,1,passenger
2025-12-16,20:40,20:47,Xi'an,XIY,China Eastern Airlines,MU868,2,11R,Departed,B-328Z,A20N,0,passenger
2025-12-16,20:25,20:46,Bangkok,BKK,Thai Airways,TG565,2,11R,Departed,HS-TXG,A320,1,passenger
2025-12-16,20:30,20:43,Ho Chi Minh City,SGN,Vietnam Airlines,VN265,1,11R,Departed,VN-A613,A321,1,passenger
2025-12-16,20:30,20:40,Ho Chi Minh City,SGN,Vietravel Airlines,VU787,1,11R,Departed,VN-A289,A321,0,passenger
2025-12-16,20:05,20:34,Ho Chi Minh City,SGN,VietJet Air,VJ155,1,11R,Departed,VN-A637,A321,0,passenger
2025-12-16,20:30,20:32,Ho Chi Minh City,SGN,Bamboo Airways,QH273,1,11R,Departed,VN-A227,A321,0,passenger
2025-12-16,20:05,20:19,Beijing,PKX,VietJet Air,VJ7712,2,11R,Departed,VN-A693,A21N,0,passenger
2025-12-16,20:00,20:13,Ho Chi Minh City,SGN,Vietnam Airlines,VN263,1,11R,Departed,VN-A868,B789,0,passenger
2025-12-16,20:00,20:03,Abu Dhabi,AUH,Etihad Airways,EY431,2,11R,Departed,A6-BNB,B789,0,passenger
2025-12-16,19:30,19:59,Hong Kong,HKG,Cathay Pacific,CX742,0,11R,Departed,B-HNQ,B773,0,general aviation
2025-12-16,19:40,19:51,Shenzhen,SZX,Shenzhen Airlines,ZH106,2,11R,Departed,B-5670,B738,1,passenger
2025-12-16,19:45,19:44,Guangzhou,CAN,China Southern Airlines,CZ8178,2,11R,Departed,B-6776,A320,1,passenger
2025-12-16,19:15,19:39,Hue,HUI,VietJet Air,VJ569,1,11R,Departed,VN-A632,A321,0,passenger
2025-12-16,19:10,19:35,Delhi,DEL,VietJet Air,VJ971,2,11R,Departed,VN-A816,A333,0,passenger
2025-12-16,19:15,19:32,Phnom Penh,KTI,Air Cambodia,K6851,2,11R,Departed,XU-356,A320,0,passenger
2025-12-16,19:15,19:29,Bengaluru,BLR,Vietnam Airlines,VN983,2,11R,Departed,VN-A619,A21N,0,passenger
2025-12-16,19:05,19:26,Da Nang,DAD,VietJet Air,VJ517,1,11R,Departed,VN-A636,A321,0,passenger
2025-12-16,19:00,19:23,Ahmedabad,AMD,VietJet Air,VJ1925,2,11R,Departed,VN-A658,A320,0,passenger
2025-12-16,19:05,19:18,Da Nang,DAD,Vietnam Airlines,VN195,1,11R,Departed,VN-A604,A321,0,passenger
2025-12-16,19:15,19:15,Luang Prabang,LPQ,Lao Airlines,QV314,2,11R,Departed,RDPL-34225,AT76,0,passenger
2025-12-16,19:10,19:12,Doha,DOH,Qatar Airways,QR977,2,11R,Departed,A7-BHL,B789,1,passenger
2025-12-16,19:00,19:10,Ho Chi Minh City,SGN,Vietnam Airlines,VN219,1,11R,Departed,VN-A896,A359,0,passenger
2025-12-16,18:55,19:04,Bangkok,BKK,Vietnam Airlines,VN617,2,11R,Departed,VN-A614,A321,1,passenger
2025-12-16,18:45,19:01,Shanghai,PVG,China Eastern Airlines,MU6014,2,11R,Departed,B-32KT,A21N,0,passenger
2025-12-16,17:40,18:58,Nha Trang,CXR,VietJet Air,VJ783,1,11R,Departed,VN-A634,A321,0,passenger
2025-12-16,20:40,18:56,Ho Chi Minh City,SGN,Sun PhuQuoc Airways,9G869,1,11R,Departed,VN-A279,A321,0,passenger
2025-12-16,17:00,18:46,Ho Chi Minh City,SGN,Vietnam Airlines,VN217,1,11R,Departed,VN-A873,B78X,0,passenger
2025-12-16,18:30,18:44,Ho Chi Minh City,SGN,VietJet Air,VJ165,1,11R,Departed,VN-A674,A21N,0,passenger
2025-12-16,18:25,18:42,Singapore,SIN,Singapore Airlines,SQ193,2,11R,Departed,9V-MBQ,B38M,0,passenger
2025-12-16,18:20,18:39,Da Nang,DAD,Vietnam Airlines,VN6071,1,11R,Departed,VN-A363,A321,0,passenger
2025-12-16,18:15,18:35,Shanghai,PVG,Air China,CA756,2,11R,Departed,B-6791,A321,1,passenger
2025-12-16,18:20,18:31,Taipei,TPE,EVA Air,BR386,2,11R,Departed,B-16225,A321,1,passenger
2025-12-16,18:20,18:24,Kaohsiung,KHH,Vietnam Airlines,VN586,2,11R,Departed,VN-A605,A321,0,passenger
2025-12-16,17:45,18:18,Can Tho,VCA,VietJet Air,VJ465,1,11R,Departed,VN-A643,A321,0,passenger
2025-12-16,18:00,18:14,Ho Chi Minh City,SGN,Vietnam Airlines,VN259,1,11R,Departed,VN-A872,B78X,1,passenger
2025-12-16,18:00,18:11,Nha Trang,CXR,VietJet Air,VJ779,1,11R,Departed,VN-A651,A321,0,passenger
2025-12-16,17:45,18:05,Luang Prabang,LPQ,AirAsia,FD1039,2,11R,Departed,HS-CBM,A320,1,passenger
2025-12-16,17:30,18:02,Taipei,TPE,China Airlines,CI794,2,11R,Departed,B-18661,B738,0,passenger
2025-12-16,17:45,17:56,Mumbai,BOM,Vietnam Airlines,VN973,2,11R,Departed,VN-A866,B789,0,passenger
2025-12-16,17:40,17:53,Phu Quoc,PQC,VietJet Air,VJ445,1,11R,Departed,VN-A662,A320,1,passenger
2025-12-16,17:35,17:50,Taipei,TPE,Vietnam Airlines,VN578,2,11R,Departed,VN-A392,A321,0,passenger
2025-12-16,17:30,17:46,Ho Chi Minh City,SGN,Vietnam Airlines,VN257,1,11R,Departed,VN-A899,A359,0,passenger
2025-12-16,17:20,17:33,Ho Chi Minh City,SGN,VietJet Air,VJ163,1,11R,Departed,VN-A661,A321,0,passenger
2025-12-16,17:05,17:21,Da Nang,DAD,Vietnam Airlines,VN187,1,11R,Departed,VN-A513,A20N,1,passenger
2025-12-16,16:50,17:18,Da Nang,DAD,Vietravel Airlines,VU639,1,11R,Departed,VN-A129,A321,0,passenger
2025-12-16,,17:08,,,Atlas Air,5Y8121,,11R,Departed,N408MC,B744,0,cargo
2025-12-16,16:40,17:05,Vientiane,VTE,Lao Airlines,QV312,2,11R,Departed,RDPL-34188,A320,0,passenger
2025-12-16,16:30,17:01,Hue,HUI,Vietnam Airlines,VN1545,1,11R,Departed,VN-A356,A321,1,passenger
2025-12-16,16:45,16:59,Nha Trang,CXR,Vietnam Airlines,VN1563,1,11R,Departed,VN-A622,A21N,0,passenger
2025-12-16,16:00,16:56,Ho Chi Minh City,SGN,VietJet Air,VJ199,1,11R,Departed,VN-A549,A21N,0,passenger
2025-12-16,16:35,16:53,Can Tho,VCA,Vietnam Airlines,VN1207,1,11R,Departed,VN-A397,A321,0,passenger
2025-12-16,16:30,16:50,Ho Chi Minh City,SGN,Bamboo Airways,QH255,1,11R,Departed,PK-BBK,B739,0,passenger
2025-12-16,16:25,16:47,Da Nang,DAD,VietJet Air,VJ515,1,11R,Departed,VN-A672,A320,0,passenger
2025-12-16,16:20,16:42,Siem Reap,SAI,VietJet Air,VJ913,2,11R,Departed,VN-A666,A320,1,passenger
2025-12-16,16:05,16:39,Da Lat,DLI,VietJet Air,VJ409,1,11R,Departed,VN-A669,A320,0,passenger
2025-12-16,14:50,16:37,Kuala Lumpur,KUL,AirAsia,AK513,2,11R,Departed,9M-RAR,A20N,1,passenger
2025-12-16,16:15,16:35,Da Nang,DAD,Bamboo Airways,QH147,1,11R,Departed,VN-A227,A321,0,passenger
2025-12-16,18:22,16:33,Ho Chi Minh City,SGN,Vietravel Airlines,VU779,1,11R,Departed,9H-MLW,A320,0,passenger
2025-12-16,16:00,16:30,Ho Chi Minh City,SGN,VietJet Air,VJ195,1,11R,Departed,VN-A547,A21N,0,passenger
2025-12-16,16:10,16:24,Da Nang,DAD,Vietnam Airlines,VN179,1,11R,Departed,VN-A514,A20N,0,passenger
2025-12-16,16:10,16:18,Shenzhen,SZX,China Southern Airlines,CZ8470,2,11R,Departed,B-6687,A321,1,passenger
2025-12-16,16:00,16:14,Ho Chi Minh City,SGN,Vietnam Airlines,VN273,1,11R,Departed,VN-A893,A359,0,passenger
2025-12-16,15:55,16:12,Pleiku,PXU,VietJet Air,VJ423,1,11R,Departed,VN-A637,A321,0,passenger
2025-12-16,15:50,16:09,Bangkok,BKK,VietJet Air,VJ903,2,11R,Departed,VN-A647,A321,1,passenger
2025-12-16,14:30,16:06,Ho Chi Minh City,SGN,Bamboo Airways,QH241,1,11R,Departed,ER-00005,A320,0,passenger
2025-12-16,15:45,16:03,Kunming,KMG,China Eastern Airlines,MU9606,2,11R,Departed,B-7170,B738,0,passenger
2025-12-16,15:50,16:00,Bangkok,BKK,Vietnam Airlines,VN619,2,11R,Departed,VN-A612,A321,1,passenger
2025-12-16,15:45,15:55,Guangzhou,CAN,China Southern Airlines,CZ8316,2,11R,Departed,B-6782,A320,1,passenger
2025-12-16,15:35,15:53,Ho Chi Minh City,SGN,VietJet Air,VJ145,1,11R,Departed,VN-A536,A21N,0,passenger
2025-12-16,15:10,15:50,Ho Chi Minh City,SGN,VietJet Air,VJ153,1,11R,Departed,VN-A635,A321,0,passenger
2025-12-16,15:40,15:48,Xiamen,XMN,Xiamen Air,MF870,2,11R,Departed,B-5532,B738,1,passenger
2025-12-16,15:30,15:44,Ho Chi Minh City,SGN,Vietnam Airlines,VN249,1,11R,Departed,VN-A390,A321,1,passenger
2025-12-16,15:30,15:42,Phu Quoc,PQC,VietJet Air,VJ1441,1,11R,Departed,VN-A548,A21N,0,passenger
2025-12-16,15:20,15:39,Chiang Mai,CNX,AirAsia,FD871,2,11R,Departed,HS-BBG,A320,1,passenger
2025-12-16,17:26,15:36,Ho Chi Minh City,SGN,Sun PhuQuoc Airways,9G853,1,11R,Departed,VN-A281,A21N,0,passenger
2025-12-16,15:10,15:33,Shanghai,PVG,China Eastern Airlines,MU6012,2,11R,Departed,B-6643,A321,0,passenger
2025-12-16,15:05,15:30,Da Nang,DAD,Vietnam Airlines,VN173,1,11R,Departed,VN-A339,A321,0,passenger
2025-12-16,15:00,15:27,Nha Trang,CXR,Vietnam Airlines,VN7569,1,11R,Departed,VN-A507,A21N,0,passenger
2025-12-16,,15:24,,,,JG2724,,11R,Departed,B-226S,B738,0,cargo
2025-12-16,15:00,15:21,Ho Chi Minh City,SGN,Vietnam Airlines,VN215,1,11R,Departed,VN-A886,A359,1,passenger
2025-12-16,15:15,15:14,Siem Reap,SAI,Vietnam Airlines,VN837,2,11R,Departed,VN-A398,A321,1,passenger
2025-12-16,14:55,15:12,Enshi,ENH,West Air,PN6536,2,11R,Departed,B-302F,A20N,0,passenger
2025-12-16,15:00,15:09,Ho Chi Minh City,SGN,Vietnam Airlines,VN7261,1,11R,Departed,VN-A508,A21N,0,passenger
2025-12-16,14:55,15:06,Shenzhen,SZX,Shenzhen Airlines,ZH104,2,11R,Departed,B-6781,A320,1,passenger
2025-12-16,14:40,14:59,Kuala Lumpur,KUL,Vietnam Airlines,VN681,2,11R,Departed,VN-A399,A321,0,passenger
2025-12-16,14:35,14:49,Buon Ma Thuot,BMV,VietJet Air,VJ1491,1,11R,Departed,VN-A632,A321,0,passenger
2025-12-16,14:25,14:45,Taipei,TPE,VietJet Air,VJ942,2,11R,Departed,VN-A534,A21N,1,passenger
2025-12-16,14:15,14:33,Dien Bien Phu,DIN,Vietnam Airlines,VN1804,1,11R,Departed,VN-A605,A321,0,passenger
2025-12-16,14:00,14:28,Ho Chi Minh City,SGN,Vietnam Airlines,VN253,1,11R,Departed,VN-A879,B78X,0,passenger
2025-12-16,14:00,14:24,Ho Chi Minh City,SGN,VietJet Air,VJ151,1,11R,Departed,VN-A663,A320,0,passenger
2025-12-16,13:35,14:21,Da Nang,DAD,VietJet Air,VJ513,1,11R,Departed,VN-A643,A321,1,passenger
2025-12-16,14:10,14:15,Dhaka,DAC,Ethiopian Airlines,ET679,2,11R,Departed,ET-ASG,B788,1,passenger
2025-12-16,13:55,14:12,Manila,MNL,Philippine Airlines,PR594,2,11R,Departed,RP-C9925,A321,0,passenger
2025-12-16,13:00,14:09,Nha Trang,CXR,VietJet Air,VJ781,1,11R,Departed,VN-A634,A321,0,passenger
2025-12-16,13:30,14:05,Taichung,RMQ,VietJet Air,VJ948,2,11R,Departed,VN-A578,A21N,1,passenger
2025-12-16,13:30,14:01,Seoul,ICN,Asiana Airlines,OZ730,2,11R,Departed,HL7579,A359,0,passenger
2025-12-16,13:30,13:58,Kuala Lumpur,KUL,Batik Air,OD572,2,11R,Departed,9M-LRR,B38M,1,passenger
2025-12-16,13:10,13:51,Phnom Penh,KTI,Air Cambodia,K6855,2,11R,Departed,XU-356,A320,0,passenger
2025-12-16,13:45,13:47,Guangzhou,CAN,Shenzhen Airlines,ZH122,2,11R,Departed,B-1941,B738,1,passenger
2025-12-16,13:15,13:44,Ho Chi Minh City,SGN,Bamboo Airways,QH251,1,11R,Departed,JU-1410,A320,0,passenger
2025-12-16,12:20,13:41,Bangkok,DMK,AirAsia,FD641,2,11R,Departed,HS-BBU,A320,1,passenger
2025-12-16,13:30,13:37,Nha Trang,CXR,Vietnam Airlines,VN1559,1,11R,Departed,VN-A602,A321,0,passenger
2025-12-16,15:20,13:33,Phu Quoc,PQC,Sun PhuQuoc Airways,9G1215,1,11R,Departed,VN-A280,A321,0,passenger
2025-12-16,13:20,13:30,Beijing,PEK,Air China,CA742,2,11R,Departed,B-326D,A21N,0,passenger
2025-12-16,,13:27,,,Emirates,EK9855,,11R,Departed,A6-EFO,B77L,0,cargo
2025-12-16,12:40,13:20,Ho Chi Minh City,SGN,VietJet Air,VJ183,1,11R,Departed,VN-A811,A333,0,passenger
2025-12-16,13:00,13:16,Kuala Lumpur,KUL,Malaysia Airlines,MH753,2,11R,Departed,9M-MXY,B738,1,passenger
2025-12-16,13:00,13:14,Ho Chi Minh City,SGN,Vietnam Airlines,VN213,1,11R,Departed,VN-A868,B789,0,passenger
2025-12-16,13:00,13:08,Da Nang,DAD,Vietnam Airlines,VN171,1,11R,Departed,VN-A329,A321,0,passenger
2025-12-16,12:45,13:05,Singapore,SIN,Singapore Airlines,SQ191,2,11R,Departed,9V-SHI,A359,0,passenger
2025-12-16,12:40,13:03,Bangkok,BKK,Vietnam Airlines,VN615,2,11R,Departed,VN-A619,A21N,1,passenger
2025-12-16,12:45,12:59,Guangzhou,CAN,Vietnam Airlines,VN506,2,11R,Departed,VN-A614,A321,0,passenger
2025-12-16,12:35,12:56,Taipei,TPE,EVA Air,BR398,2,11R,Departed,B-16726,B77W,1,passenger
2025-12-16,,12:53,,,Air China Cargo,CA3116,,11R,Departed,B-2409,B744,0,cargo
2025-12-16,12:30,12:47,Phu Quoc,PQC,Vietnam Airlines,VN6401,1,11R,Departed,VN-A363,A321,0,passenger
2025-12-16,11:35,12:44,Taipei,TPE,China Airlines,CI792,2,11R,Departed,B-18115,A21N,0,passenger
2025-12-16,12:25,12:41,Phu Quoc,PQC,VietJet Air,VJ441,1,11R,Departed,VN-A651,A321,1,passenger
2025-12-16,12:25,12:38,Shanghai,PVG,Air China,CA704,2,11R,Departed,B-8495,A321,1,passenger
2025-12-16,12:20,12:35,Seoul,ICN,Korean Air,KE442,2,11R,Departed,HL8506,A21N,0,passenger
2025-12-16,14:18,12:32,Ho Chi Minh City,SGN,Sun PhuQuoc Airways,9G87,1,11R,Departed,VN-A279,A321,0,passenger
2025-12-16,12:15,12:26,Bangkok,BKK,VietJet Air,VJ901,2,11R,Departed,VN-A636,A321,1,passenger
2025-12-16,11:20,12:21,Paro,PBH,Drukair,KB605,2,11R,Departed,A5-JSW,A319,0,passenger
2025-12-16,12:00,12:18,Da Lat,DLI,Vietnam Airlines,VN1575,1,11R,Departed,VN-A513,A20N,0,passenger
2025-12-16,12:00,12:10,Ho Chi Minh City,SGN,Vietnam Airlines,VN251,1,11R,Departed,VN-A896,A359,0,passenger
2025-12-16,11:45,12:00,Kaohsiung,KHH,VietJet Air,VJ946,2,11R,Departed,VN-A697,A21N,1,passenger
2025-12-16,11:30,11:58,Taipei,TPE,Starlux,JX716,0,11R,Departed,B-58201,A21N,0,general aviation
2025-12-16,11:25,11:54,Da Lat,DLI,VietJet Air,VJ407,1,11R,Departed,VN-A669,A320,0,passenger
2025-12-16,11:45,11:48,Guangzhou,CAN,China Southern Airlines,CZ3050,2,11R,Departed,B-301W,A20N,0,passenger
2025-12-16,11:25,11:45,Ho Chi Minh City,SGN,VietJet Air,VJ129,1,11R,Departed,VN-A816,A333,0,passenger
2025-12-16,11:20,11:36,Qui Nhon,UIH,Vietnam Airlines,VN1623,1,11R,Departed,VN-A514,A20N,0,passenger
2025-12-16,11:15,11:33,Can Tho,VCA,Vietnam Airlines,VN1203,1,11R,Departed,VN-A392,A321,0,passenger
2025-12-16,11:05,11:30,Hong Kong,HKG,Cathay Pacific,CX740,0,11R,Departed,B-KPZ,B77W,1,general aviation
2025-12-16,10:45,11:27,Da Lat,DLI,VietJet Air,VJ403,1,11R,Departed,VN-A637,A321,1,passenger
2025-12-16,10:55,11:24,Da Nang,DAD,Vietnam Airlines,VN167,1,11R,Departed,VN-A613,A321,0,passenger
2025-12-16,11:00,11:21,Ho Chi Minh City,SGN,Vietnam Airlines,VN211,1,11R,Departed,VN-A869,B789,0,passenger
2025-12-16,10:00,11:17,Denpasar,DPS,VietJet Air,VJ997,2,11R,Departed,VN-A525,A21N,1,passenger
2025-12-16,10:50,11:14,Can Tho,VCA,VietJet Air,VJ463,1,11R,Departed,VN-A672,A320,0,passenger
2025-12-16,10:50,11:10,Ho Chi Minh City,SGN,Vietravel Airlines,VU771,1,11R,Departed,VN-A129,A321,0,passenger
2025-12-16,10:40,11:07,Seoul,ICN,Vietnam Airlines,VN414,2,11R,Departed,VN-A889,A359,1,passenger
2025-12-16,10:05,11:03,Ho Chi Minh City,SGN,VietJet Air,VJ149,1,11R,Departed,VN-A685,A321,1,passenger
2025-12-16,10:30,10:52,Hong Kong,HKG,Vietnam Airlines,VN592,2,11R,Departed,VN-A397,A321,0,passenger
2025-12-16,10:30,10:50,Da Nang,DAD,VietJet Air,VJ507,1,11R,Departed,VN-A632,A321,0,passenger
2025-12-16,,10:46,Doha,DOH,Qatar Airways,QR8955,0,11R,Departed,A7-BFO,B77L,0,cargo
2025-12-16,10:35,10:43,Bangkok,BKK,Thai Airways,TG561,2,11R,Departed,HS-TXO,A320,1,passenger
2025-12-16,10:10,10:42,Ho Chi Minh City,SGN,Bamboo Airways,QH211,1,11R,Departed,PK-BBK,B739,0,passenger
2025-12-16,10:10,10:38,Hue,HUI,VietJet Air,VJ567,1,11R,Departed,VN-A643,A321,0,passenger
2025-12-16,10:10,10:34,Da Nang,DAD,Vietnam Airlines,VN165,1,11R,Departed,VN-A605,A321,0,passenger
2025-12-16,12:12,10:31,Ho Chi Minh City,SGN,Vietravel Airlines,VU775,1,11R,Departed,9H-MLW,A320,0,passenger
2025-12-16,09:35,10:28,Singapore,SIN,VietJet Air,VJ915,2,11R,Departed,VN-A657,A321,0,passenger
2025-12-16,10:00,10:23,Beijing,PEK,Vietnam Airlines,VN512,2,11R,Departed,VN-A606,A321,0,passenger
2025-12-16,10:00,10:19,Ho Chi Minh City,SGN,Vietnam Airlines,VN247,1,11R,Departed,VN-A357,A321,0,passenger
2025-12-16,09:55,10:17,Da Nang,DAD,VietJet Air,VJ505,1,11R,Departed,VN-A687,A321,0,passenger
2025-12-16,10:10,10:12,Shanghai,PVG,Vietnam Airlines,VN532,2,11R,Departed,VN-A604,A321,1,passenger
2025-12-16,09:55,10:04,Nha Trang,CXR,Vietnam Airlines,VN1553,1,11R,Departed,VN-A612,A321,0,passenger
2025-12-16,09:40,10:01,Shenzhen,SZX,Shenzhen Airlines,ZH102,2,11R,Departed,B-8409,A320,0,passenger
2025-12-16,09:35,09:58,Vientiane,VTE,Vietnam Airlines,VN921,2,11R,Departed,VN-A323,A321,1,passenger
2025-12-16,09:35,09:56,Hong Kong,HKG,HK express,UO541,2,11R,Departed,B-HSM,A320,1,passenger
2025-12-16,11:43,09:53,Phu Quoc,PQC,Sun PhuQuoc Airways,9G1209,1,11R,Departed,VN-A281,A21N,0,passenger
2025-12-16,09:25,09:50,Ho Chi Minh City,SGN,Vietnam Airlines,VN6015,1,11R,Departed,VN-A354,A321,0,passenger
2025-12-16,09:15,09:47,Melbourne,MEL,Vietnam Airlines,VN779,2,11L,Departed,VN-A867,B789,0,passenger
2025-12-16,09:15,09:43,Bangkok,DMK,AirAsia,FD643,2,11R,Departed,HS-ABX,A320,1,passenger
2025-12-16,08:55,09:40,Ho Chi Minh City,SGN,VietJet Air,VJ127,1,11R,Departed,VN-A675,A320,0,passenger
2025-12-16,09:00,09:38,Kuala Lumpur,KUL,AirAsia,AK517,2,11R,Departed,9M-AJS,A320,0,passenger
2025-12-16,09:15,09:36,Bangkok,BKK,Vietnam Airlines,VN611,2,11R,Departed,VN-A622,A21N,1,passenger
2025-12-16,09:00,09:33,Chengdu,TFU,Sichuan Airlines,3U3906,2,11R,Departed,B-9935,A320,1,passenger
2025-12-16,09:00,09:29,Ho Chi Minh City,SGN,Vietnam Airlines,VN209,1,11R,Departed,VN-A866,B789,1,passenger
2025-12-16,,09:22,,,Air Zeta,KJ934,,11R,Departed,HL7421,B744,0,cargo
2025-12-16,08:50,09:19,Istanbul,IST,Turkish Airlines,TK253,2,11R,Departed,TC-LLK,B789,0,passenger
2025-12-16,08:50,09:17,Ho Chi Minh City,SGN,Vietravel Airlines,VU751,1,11R,Departed,VN-A289,A321,0,passenger
2025-12-16,08:40,09:14,Ho Chi Minh City,SGN,VietJet Air,VJ125,1,11R,Departed,VN-A580,A21N,1,passenger
2025-12-16,08:45,09:11,Dong Hoi,VDH,Vietnam Airlines,VN1591,1,11R,Departed,VN-A602,A321,0,passenger
2025-12-16,08:40,09:07,Ho Chi Minh City,SGN,Bamboo Airways,QH207,1,11R,Departed,ER-00005,A320,0,passenger
2025-12-16,08:55,09:04,Doha,DOH,Qatar Airways,QR983,2,11R,Departed,A7-BHW,B789,1,passenger
2025-12-16,07:35,09:00,Taipei,TPE,VietJet Air,VJ940,2,11R,Departed,VN-A661,A321,1,passenger
2025-12-16,,08:56,Delhi,DEL,Turkish Airlines,TK6313,0,11R,Departed,TC-JOU,A332,0,cargo
2025-12-16,08:40,08:53,Jakarta,CGK,VietJet Air,VJ929,2,11L,Departed,VN-A658,A320,1,passenger
2025-12-16,08:25,08:48,Manila,MNL,Cebu Pacific,5J745,2,11R,Departed,RP-C4121,A21N,0,passenger
2025-12-16,08:35,08:44,Tokyo,HND,Vietnam Airlines,VN384,2,11R,Departed,VN-A861,B789,1,passenger
2025-12-16,08:20,08:40,Tokyo,NRT,VietJet Air,VJ934,2,11R,Departed,VN-A539,A21N,1,passenger
2025-12-16,08:20,08:37,Osaka,KIX,VietJet Air,VJ930,2,11R,Departed,VN-A693,A21N,1,passenger
2025-12-16,07:01,08:31,Phu Quoc,PQC,Vietnam Airlines,VN1237,1,11R,Departed,VN-A339,A321,0,passenger
2025-12-16,08:15,08:28,Guangzhou,CAN,China Southern Airlines,CZ372,2,11R,Departed,B-6282,A320,1,passenger
2025-12-16,08:15,08:26,Da Nang,DAD,Vietnam Airlines,VN6081,1,11R,Departed,VN-A363,A321,0,passenger
2025-12-16,08:05,08:15,Singapore,SIN,Vietnam Airlines,VN661,2,11R,Departed,VN-A899,A359,0,passenger
