Crawl_Date,Scheduled_Time,Actual_Time,Destination,IATA,Airline,Flight_No,Terminal,Departure_Runway,Status,Scheduled_Tail,Aircraft_Type,Is_Fixed_Flight,Category
2025-12-16,18:45,20:03,Hanoi,HAN,VietJet Air,VJ158,1,25L,Departed,VN-A673,A321,0,passenger
2025-12-16,19:30,20:00,Sydney,SYD,VietJet Air,VJ85,2,25L,Departed,VN-A817,A333,1,passenger
2025-12-16,19:35,19:57,Hanoi,HAN,Vietnam Airlines,VN262,3,25L,Departed,VN-A870,B789,0,passenger
2025-12-16,18:50,19:53,Hanoi,HAN,VietJet Air,VJ166,1,25L,Departed,VN-A549,A21N,0,passenger
2025-12-16,18:45,19:50,Thanh Hoa,THD,Vietnam Airlines,VN1268,3,25L,Departed,VN-A395,A321,0,passenger
2025-12-16,17:10,19:45,Doha,DOH,Qatar Airways,QR971,2,25L,Departed,A7-BAA,B77W,0,passenger
2025-12-16,20:28,19:42,Nha Trang,CXR,Vietnam Airlines,VN7352,3,25L,Departed,VN-A616,A21N,0,passenger
2025-12-16,19:10,19:39,Hanoi,HAN,VietJet Air,VJ196,1,25L,Departed,VN-A536,A21N,0,passenger
2025-12-16,19:00,19:37,Kuala Lumpur,KUL,Malaysia Airlines,MH767,2,25L,Departed,9M-MLM,B738,0,passenger
2025-12-16,18:40,19:35,Bangkok,BKK,Vietnam Airlines,VN609,2,25L,Departed,VN-A608,A321,0,passenger
2025-12-16,21:18,19:31,Hanoi,HAN,Sun PhuQuoc Airways,9G878,3,25L,Departed,VN-A282,A21N,0,passenger
2025-12-16,19:05,19:28,Ulaanbaatar,UBN,MIAT Mongolian Airlines,OM712,2,25L,Departed,EI-UBN,B789,0,passenger
2025-12-16,19:00,19:26,Hanoi,HAN,Vietnam Airlines,VN258,3,25L,Departed,VN-A892,A359,0,passenger
2025-12-16,20:32,19:24,Da Nang,DAD,Vietravel Airlines,VU684,3,25L,Departed,9H-MLW,A320,0,passenger
2025-12-16,18:55,19:21,Da Nang,DAD,Vietnam Airlines,VN142,3,25L,Departed,VN-A601,A321,0,passenger
2025-12-16,19:00,19:18,Nha Trang,CXR,Vietnam Airlines,VN6150,3,25L,Departed,VN-A359,A321,0,passenger
2025-12-16,18:50,19:15,Ahmedabad,AMD,VietJet Air,VJ1805,2,25L,Departed,VN-A580,A21N,0,passenger
2025-12-16,17:35,19:13,Hanoi,HAN,Bamboo Airways,QH262,3,25L,Departed,ER-00005,A320,0,passenger
2025-12-16,18:25,19:08,Da Lat,DLI,VietJet Air,VJ362,1,25L,Departed,VN-A642,A321,0,passenger
2025-12-16,18:30,19:04,Delhi,DEL,Vietnam Airlines,VN977,2,25L,Departed,VN-A886,A359,0,passenger
2025-12-16,18:35,19:02,Haiphong,HPH,Vietnam Airlines,VN1186,3,25L,Departed,VN-A332,A321,0,passenger
2025-12-16,18:20,18:59,Thanh Hoa,THD,VietJet Air,VJ1246,1,25L,Departed,VN-A644,A321,0,passenger
2025-12-16,18:55,18:56,Guangzhou,CAN,Spring Airlines,9C7348,2,25L,Departed,B-8580,A320,1,passenger
2025-12-16,18:10,18:54,Buon Ma Thuot,BMV,Vietnam Airlines,VN1414,3,25L,Departed,VN-A390,A321,1,passenger
2025-12-16,17:45,18:51,Qui Nhon,UIH,VietJet Air,VJ384,1,25L,Departed,VN-A635,A321,0,passenger
2025-12-16,18:30,18:49,Phnom Penh,KTI,Air Cambodia,K6819,2,25L,Departed,XU-610,AT76,0,passenger
2025-12-16,18:20,18:46,Haiphong,HPH,VietJet Air,VJ280,1,25L,Departed,VN-A655,A320,0,passenger
2025-12-16,18:00,18:43,Hanoi,HAN,Vietnam Airlines,VN218,3,25L,Departed,VN-A898,A359,1,passenger
2025-12-16,20:21,18:39,Hanoi,HAN,Sun PhuQuoc Airways,9G868,3,25L,Departed,VN-A281,A21N,0,passenger
2025-12-16,18:20,18:36,Da Lat,DLI,Vietnam Airlines,VN8024,3,25L,Departed,VN-B218,AT75,0,passenger
2025-12-16,18:15,18:33,Da Nang,DAD,VietJet Air,VJ648,1,25L,Departed,VN-A699,A320,0,passenger
2025-12-16,17:25,18:30,Da Lat,DLI,Vietnam Airlines,VN1386,3,25L,Departed,VN-A338,A321,0,passenger
2025-12-16,,18:27,Hanoi,HAN,AeroLogic,3S621,0,25L,Departed,D-AALV,B77L,0,cargo
2025-12-16,01:15,18:25,Beijing,PKX,VietJet Air,VJ3948,2,25L,Departed,VN-A675,A320,0,passenger
2025-12-16,18:05,18:22,Bangkok,DMK,AirAsia,FD655,2,25L,Departed,HS-EAB,A21N,1,passenger
2025-12-16,17:50,18:20,Taipei,TPE,China Airlines,CI784,2,25L,Departed,B-18003,B77W,0,passenger
2025-12-16,17:35,18:17,Bangkok,BKK,VietJet Air,VJ805,2,25L,Departed,VN-A544,A321,1,passenger
2025-12-16,17:50,18:15,Kaohsiung,KHH,Vietnam Airlines,VN580,2,25L,Departed,VN-A393,A321,0,passenger
2025-12-16,16:50,18:12,Pleiku,PXU,VietJet Air,VJ396,1,25L,Departed,VN-A685,A321,0,passenger
2025-12-16,16:55,18:09,Chu Lai,VCL,Vietnam Airlines,VN1468,3,25L,Departed,VN-A508,A21N,0,passenger
2025-12-16,18:00,18:06,Dubai,DXB,Emirates,EK365,2,25L,Departed,A6-EXJ,A359,1,passenger
2025-12-16,17:55,18:03,Taipei,TPE,Starlux,JX714,0,25L,Departed,B-58213,A21N,0,general aviation
2025-12-16,17:30,17:56,Hanoi,HAN,Vietravel Airlines,VU780,3,25L,Departed,VN-A289,A321,0,passenger
2025-12-16,17:20,17:45,Phu Quoc,PQC,Vietravel Airlines,VU303,3,25L,Departed,VN-A136,A320,0,passenger
2025-12-16,17:20,17:43,Tokyo,HND,VietJet Air,VJ820,2,25L,Departed,VN-A653,A21N,1,passenger
2025-12-16,17:35,17:40,Singapore,SIN,Scoot,TR303,2,25L,Departed,9V-TRU,A320,0,passenger
2025-12-16,17:00,17:37,Hanoi,HAN,Vietnam Airlines,VN254,3,25L,Departed,VN-A879,B78X,1,passenger
2025-12-16,17:25,17:31,Chu Lai,VCL,VietJet Air,VJ376,1,25L,Departed,VN-A663,A320,0,passenger
2025-12-16,16:55,17:29,Bangkok,BKK,Vietnam Airlines,VN607,2,25L,Departed,VN-A326,A321,0,passenger
2025-12-16,17:00,17:24,Hanoi,HAN,VietJet Air,VJ152,1,25L,Departed,VN-A689,A320,0,passenger
2025-12-16,17:05,17:20,Hue,HUI,Vietnam Airlines,VN6160,3,25L,Departed,VN-A354,A321,0,passenger
2025-12-16,16:10,17:17,Kuala Lumpur,KUL,AirAsia,AK523,2,25L,Departed,9M-RAG,A320,1,passenger
2025-12-16,16:15,17:15,Da Nang,DAD,Vietnam Airlines,VN136,3,25L,Departed,VN-A603,A321,0,passenger
2025-12-16,16:40,17:12,Hanoi,HAN,Vietnam Airlines,VN252,3,25L,Departed,VN-A868,B789,0,passenger
2025-12-16,16:55,17:02,Kunming,KMG,China Eastern Airlines,MU9634,2,25L,Departed,B-5756,B738,1,passenger
2025-12-16,16:50,16:59,Taipei,TPE,Vietnam Airlines,VN570,2,25L,Departed,VN-A327,A321,0,passenger
2025-12-16,16:40,16:57,Kuala Lumpur,KUL,Malaysia Airlines,MH759,2,25L,Departed,9M-MXA,B738,1,passenger
2025-12-16,16:35,16:53,Hue,HUI,VietJet Air,VJ310,1,25L,Departed,VN-A537,A21N,0,passenger
2025-12-16,16:45,16:52,Da Nang,DAD,Vietnam Airlines,VN140,3,25L,Departed,VN-A336,A321,0,passenger
2025-12-16,16:30,16:49,Dong Hoi,VDH,VietJet Air,VJ262,1,25L,Departed,VN-A546,A21N,0,passenger
2025-12-16,15:55,16:45,Haiphong,HPH,VietJet Air,VJ278,1,25L,Departed,VN-A639,A321,0,passenger
2025-12-16,16:30,16:42,Siem Reap,SAI,Vietnam Airlines,VN813,2,25L,Departed,VN-A324,A321,0,passenger
2025-12-16,16:30,16:34,Qui Nhon,UIH,Bamboo Airways,QH1124,3,25L,Departed,JU-1410,A320,0,passenger
2025-12-16,15:50,16:31,Hanoi,HAN,VietJet Air,VJ192,1,25L,Departed,VN-A811,A333,0,passenger
2025-12-16,16:20,16:28,Singapore,SIN,Vietnam Airlines,VN657,2,25L,Departed,VN-A334,A321,0,passenger
2025-12-16,15:25,16:26,Da Nang,DAD,VietJet Air,VJ638,1,25L,Departed,VN-A668,A320,0,passenger
2025-12-16,15:55,16:22,Phnom Penh,KTI,Vietnam Airlines,VN920,2,25L,Departed,VN-A323,A321,0,passenger
2025-12-16,16:10,16:20,Guangzhou,CAN,China Southern Airlines,CZ374,2,25L,Departed,B-327G,A21N,1,passenger
2025-12-16,16:00,16:17,Vientiane,VTE,VietJet Air,VJ1831,2,25L,Departed,VN-A671,A320,1,passenger
2025-12-16,16:15,16:15,Singapore,SIN,Singapore Airlines,SQ183,2,25L,Departed,9V-SMK,A359,1,passenger
2025-12-16,16:00,16:12,Hanoi,HAN,Vietnam Airlines,VN216,3,25L,Departed,VN-A896,A359,1,passenger
2025-12-16,15:50,16:10,Kuala Lumpur,KUL,Vietnam Airlines,VN679,2,25L,Departed,VN-A503,A21N,1,passenger
2025-12-16,15:45,16:07,Taipei,TPE,EVA Air,BR396,2,25L,Departed,B-16740,B77W,1,passenger
2025-12-16,15:45,15:58,Hue,HUI,Vietnam Airlines,VN1374,3,25L,Departed,VN-A515,A20N,0,passenger
2025-12-16,15:40,15:56,Singapore,SIN,Scoot,TR353,2,25L,Departed,9V-NCK,A21N,1,passenger
2025-12-16,15:15,15:52,Con Dao,VCS,Vietnam Airlines,VN8093,3,25L,Departed,VN-B219,AT75,0,passenger
2025-12-16,17:37,15:51,Hanoi,HAN,Sun PhuQuoc Airways,9G854,3,25L,Departed,VN-A279,A321,0,passenger
2025-12-16,16:22,15:48,Phu Quoc,PQC,Sun PhuQuoc Airways,9G1977,3,25L,Departed,VN-A282,A21N,0,passenger
2025-12-16,15:00,15:45,Hanoi,HAN,Vietnam Airlines,VN250,3,25L,Departed,VN-A873,B78X,1,passenger
2025-12-16,15:15,15:43,Da Nang,DAD,Vietnam Airlines,VN134,3,25L,Departed,VN-A353,A321,1,passenger
2025-12-16,15:20,15:40,Phu Quoc,PQC,Vietnam Airlines,VN1829,3,25L,Departed,VN-A601,A321,0,passenger
2025-12-16,15:30,15:37,Kuala Lumpur,KUL,Tianjin Airlines,GS9948,2,25L,Departed,B-9948,A320,0,passenger
2025-12-16,15:25,15:34,Macau,MFM,Vietnam Airlines,VN9458,2,25L,Departed,VN-A505,A21N,0,passenger
2025-12-16,15:15,15:31,Phu Quoc,PQC,VietJet Air,VJ331,1,25L,Departed,VN-A650,A320,0,passenger
2025-12-16,15:15,15:28,Buon Ma Thuot,BMV,VietJet Air,VJ358,1,25L,Departed,VN-A644,A321,0,passenger
2025-12-16,15:05,15:25,Pleiku,PXU,Vietnam Airlines,VN1422,3,25L,Departed,VN-A332,A321,0,passenger
2025-12-16,15:15,15:22,Con Dao,VCS,Vietnam Airlines,VN1885,3,25L,Departed,VN-B225,AT75,0,passenger
2025-12-16,14:50,15:13,Hong Kong,HKG,VietJet Air,VJ876,2,25L,Departed,VN-A545,A21N,0,passenger
2025-12-16,14:00,15:10,Hanoi,HAN,Vietnam Airlines,VN214,3,25L,Departed,VN-A872,B78X,0,passenger
2025-12-16,14:05,15:08,Seoul,ICN,Korean Air,KE472,2,25L,Departed,HL8532,A21N,0,passenger
2025-12-16,14:00,15:05,Phu Quoc,PQC,Vietnam Airlines,VN1833,3,25L,Departed,VN-A338,A321,0,passenger
2025-12-16,14:35,15:02,Hanoi,HAN,VietJet Air,VJ130,1,25L,Departed,VN-A816,A333,0,passenger
2025-12-16,,14:59,,,Tianjin Air Cargo,HT3824,,25L,Departed,B-222Y,B738,0,cargo
2025-12-16,14:35,14:57,Thanh Hoa,THD,VietJet Air,VJ254,1,25L,Departed,VN-A543,A21N,0,passenger
2025-12-16,14:35,14:54,Phnom Penh,KTI,Qatar Airways,QR970,2,25L,Departed,A7-BAA,B77W,0,passenger
2025-12-16,14:00,14:49,Da Nang,DAD,VietJet Air,VJ632,1,25L,Departed,VN-A656,A320,0,passenger
2025-12-16,13:20,14:45,Thanh Hoa,THD,VietJet Air,VJ258,1,25L,Departed,VN-A673,A321,0,passenger
2025-12-16,13:25,14:42,Kota Kinabalu,BKI,AirAsia,AK1631,2,25L,Departed,9M-AGB,A20N,1,passenger
2025-12-16,14:30,14:40,Shenzhen,SZX,China Southern Airlines,CZ8466,2,25L,Departed,B-6355,A321,1,passenger
2025-12-16,14:20,14:32,Singapore,SIN,Vietnam Airlines,VN655,2,25L,Departed,VN-A325,A321,1,passenger
2025-12-16,13:35,14:30,Penang,PEN,AirAsia,AK1503,2,25L,Departed,9M-RAU,A320,0,passenger
2025-12-16,14:00,14:26,Hanoi,HAN,Vietnam Airlines,VN248,3,25L,Departed,VN-A869,B789,0,passenger
2025-12-16,14:05,14:24,Brunei,BWN,Royal Brunei Airlines,BI382,2,25L,Departed,V8-RBC,A20N,0,passenger
2025-12-16,14:00,14:21,Hanoi,HAN,Vietravel Airlines,VU770,3,25L,Departed,VN-A129,A321,0,passenger
2025-12-16,14:10,14:18,Chu Lai,VCL,VietJet Air,VJ374,1,25L,Departed,VN-A675,A320,0,passenger
2025-12-16,14:00,14:15,Lijiang,LJG,Ruili Airlines,DR5052,2,25L,Departed,B-5811,B737,0,passenger
2025-12-16,12:15,14:13,Singapore,SIN,Singapore Airlines,SQ177,2,25L,Departed,9V-SHF,A359,0,passenger
2025-12-16,13:50,14:09,Thanh Hoa,THD,Vietnam Airlines,VN1266,3,25L,Departed,VN-A331,A321,0,passenger
2025-12-16,12:40,14:06,Hue,HUI,VietJet Air,VJ308,1,25L,Departed,VN-A685,A321,0,passenger
2025-12-16,13:35,14:04,Qui Nhon,UIH,Vietnam Airlines,VN1394,3,25L,Departed,VN-A611,A321,0,passenger
2025-12-16,13:50,14:01,Hong Kong,HKG,Vietnam Airlines,VN594,2,25L,Departed,VN-A357,A321,1,passenger
2025-12-16,13:20,13:56,Hanoi,HAN,VietJet Air,VJ198,1,25L,Departed,VN-A549,A21N,0,passenger
2025-12-16,12:50,13:53,Phu Quoc,PQC,VietJet Air,VJ347,1,25L,Departed,VN-A542,A321,0,passenger
2025-12-16,13:35,13:51,Taipei,TPE,VietJet Air,VJ842,2,25L,Departed,VN-A698,A321,0,passenger
2025-12-16,13:30,13:49,Haiphong,HPH,Vietnam Airlines,VN6440,3,25L,Departed,VN-A359,A321,0,passenger
2025-12-16,13:30,13:47,Da Nang,DAD,Vietnam Airlines,VN132,3,25L,Departed,VN-A393,A321,0,passenger
2025-12-16,13:15,13:43,Hanoi,HAN,Bamboo Airways,QH242,3,25L,Departed,PK-BBK,B739,0,passenger
2025-12-16,13:25,13:41,Phu Quoc,PQC,Vietravel Airlines,VU309,3,25L,Departed,VN-A136,A320,0,passenger
2025-12-16,12:45,13:38,Taipei,TPE,EVA Air,BR392,2,25L,Departed,B-16720,B77W,0,passenger
2025-12-16,15:15,13:27,Hanoi,HAN,Vietravel Airlines,VU778,3,25L,Departed,9H-MLW,A320,0,passenger
2025-12-16,13:10,13:24,Shanghai,PVG,China Southern Airlines,CZ6078,2,25L,Departed,B-32ET,A20N,1,passenger
2025-12-16,13:10,13:13,Nha Trang,CXR,Vietnam Airlines,VN1344,3,25L,Departed,VN-A326,A321,0,passenger
2025-12-16,13:00,13:08,Phu Quoc,PQC,Vietnam Airlines,VN1827,3,25L,Departed,VN-A324,A321,0,passenger
2025-12-16,,12:59,Phnom Penh,KTI,,K6817,0,25L,Departed,XU-238,AT75,0,non-categorized
2025-12-16,12:30,12:56,Hanoi,HAN,VietJet Air,VJ138,1,25L,Departed,VN-A635,A321,0,passenger
2025-12-16,12:10,12:53,Singapore,SIN,VietJet Air,VJ815,2,25L,Departed,VN-A642,A321,0,passenger
2025-12-16,12:25,12:50,Con Dao,VCS,Vietnam Airlines,VN8063,3,25L,Departed,VN-B219,AT75,0,passenger
2025-12-16,12:25,12:47,Xiamen,XMN,Xiamen Air,MF894,2,25L,Departed,B-5435,B738,1,passenger
2025-12-16,12:10,12:45,Seoul,ICN,Asiana Airlines,OZ732,2,25L,Departed,HL8356,A21N,1,passenger
2025-12-16,12:15,12:42,Da Nang,DAD,Vietnam Airlines,VN6036,3,25L,Departed,VN-A354,A321,0,passenger
2025-12-16,12:05,12:38,Seoul,ICN,VietJet Air,VJ860,2,25L,Departed,VN-A522,A321,1,passenger
2025-12-16,12:00,12:36,Hanoi,HAN,Vietnam Airlines,VN212,3,25L,Departed,VN-A866,B789,0,passenger
2025-12-16,12:00,12:34,Nha Trang,CXR,VietJet Air,VJ1604,1,25L,Departed,VN-A640,A321,0,passenger
2025-12-16,12:15,12:32,Qui Nhon,UIH,Vietnam Airlines,VN1390,3,25L,Departed,VN-A503,A21N,0,passenger
2025-12-16,12:00,12:30,Hanoi,HAN,VietJet Air,VJ144,1,25L,Departed,VN-A536,A21N,0,passenger
2025-12-16,12:05,12:27,Bangkok,BKK,Vietravel Airlines,VU131,2,25L,Departed,VN-A289,A321,0,passenger
2025-12-16,11:40,12:25,Da Nang,DAD,VietJet Air,VJ634,1,25L,Departed,VN-A668,A320,0,passenger
2025-12-16,12:00,12:23,Pakse,PKZ,Lao Airlines,QV516,2,25R,Departed,RDPL-34175,AT75,1,passenger
2025-12-16,12:10,12:21,Con Dao,VCS,Vietnam Airlines,VN1859,3,25L,Departed,VN-B225,AT75,0,passenger
2025-12-16,12:05,12:18,Da Lat,DLI,Bamboo Airways,QH1320,3,25L,Departed,VN-A227,A321,0,passenger
2025-12-16,11:30,12:16,Bangkok,BKK,VietJet Air,VJ803,2,25L,Departed,VN-A580,A21N,1,passenger
2025-12-16,11:55,12:12,Chu Lai,VCL,Vietnam Airlines,VN1464,3,25L,Departed,VN-A515,A20N,0,passenger
2025-12-16,12:00,12:10,Siem Reap,SAI,FlyOne,K6825,2,25L,Departed,ER-00011,A320,0,passenger
2025-12-16,11:55,12:09,Guangzhou,CAN,China Southern Airlines,CZ8160,2,25L,Departed,B-1090,A21N,0,passenger
2025-12-16,11:40,12:05,Hanoi,HAN,Bamboo Airways,QH240,3,25L,Departed,ER-00005,A320,0,passenger
2025-12-16,11:35,12:03,Thanh Hoa,THD,Vietnam Airlines,VN1276,3,25L,Departed,VN-A603,A321,0,passenger
2025-12-16,11:40,12:01,Taipei,TPE,Starlux,JX712,0,25L,Departed,B-58504,A359,0,general aviation
2025-12-16,11:30,11:59,Tuy Hoa,TBB,VietJet Air,VJ206,1,25L,Departed,VN-A644,A321,0,passenger
2025-12-16,04:35,11:56,Bangkok,BKK,Vietnam Airlines,VN605,2,25L,Departed,VN-A327,A321,1,passenger
2025-12-16,11:40,11:54,Da Nang,DAD,Vietnam Airlines,VN7130,3,25L,Departed,VN-A334,A321,0,passenger
2025-12-16,11:35,11:51,Hong Kong,HKG,Cathay Pacific,CX766,0,25L,Departed,B-LAE,A333,1,general aviation
2025-12-16,11:15,11:49,Phuket,HKT,VietJet Air,VJ809,2,25L,Departed,VN-A653,A21N,1,passenger
2025-12-16,11:00,11:47,Taipei,TPE,China Airlines,CI782,2,25L,Departed,B-18903,A359,0,passenger
2025-12-16,10:35,11:45,Kuala Lumpur,KUL,AirAsia,AK529,2,25L,Departed,9M-AHX,A320,1,passenger
2025-12-16,11:15,11:41,Hanoi,HAN,VietJet Air,VJ188,1,25L,Departed,VN-A663,A320,0,passenger
2025-12-16,11:20,11:39,Taichung,RMQ,China Airlines,AE1858,2,25L,Departed,B-18665,B738,1,passenger
2025-12-16,10:40,11:35,Thanh Hoa,THD,VietJet Air,VJ248,1,25L,Departed,VN-A639,A321,1,passenger
2025-12-16,11:05,11:32,Melbourne,MEL,VietJet Air,VJ81,2,25L,Departed,VN-A812,A333,0,passenger
2025-12-16,11:15,11:24,Qui Nhon,UIH,VietJet Air,VJ386,1,25L,Departed,VN-A671,A320,0,passenger
2025-12-16,11:10,11:21,Hue,HUI,Vietnam Airlines,VN1370,3,25L,Departed,VN-A353,A321,0,passenger
2025-12-16,11:00,11:18,Hanoi,HAN,Vietnam Airlines,VN246,3,25L,Departed,VN-A886,A359,0,passenger
2025-12-16,11:00,11:16,Con Dao,VCS,VietJet Air,VJ115,1,25L,Departed,B-652G,AJ27,0,passenger
2025-12-16,11:05,11:13,Da Nang,DAD,Vietnam Airlines,VN126,3,25L,Departed,VN-A332,A321,0,passenger
2025-12-16,11:00,11:11,Kuala Lumpur,KUL,Malaysia Airlines,MH751,2,25L,Departed,9M-MXN,B738,1,passenger
2025-12-16,10:50,11:08,Haiphong,HPH,VietJet Air,VJ274,1,25L,Departed,VN-A655,A320,0,passenger
2025-12-16,,11:05,Taipei,TPE,China Airlines,CI5878,0,25L,Departed,B-18780,B77L,0,cargo
2025-12-16,11:37,11:02,Phu Quoc,PQC,Sun PhuQuoc Airways,9G1963,3,25L,Departed,VN-A282,A21N,0,passenger
2025-12-16,10:30,11:00,Jakarta,CGK,Vietnam Airlines,VN631,2,25L,Departed,VN-A608,A321,0,passenger
2025-12-16,10:25,10:57,Taichung,RMQ,VietJet Air,VJ852,2,25L,Departed,VN-A677,A321,0,passenger
2025-12-16,,10:54,,,Peach,,,25L,Departed,JA228P,A20N,0,passenger
2025-12-16,10:25,10:52,Da Lat,DLI,Vietnam Airlines,VN1382,3,25L,Departed,VN-A611,A321,0,passenger
2025-12-16,10:20,10:49,Hanoi,HAN,Bamboo Airways,QH224,3,25L,Departed,JU-1410,A320,1,passenger
