Crawl_Date,Scheduled_Time,Actual_Time,Origin,IATA,Airline,Flight_No,Terminal,Arrival_Runway,Belt,Status,Tail_Number,Aircraft_Type,Category
2025-12-16,11:40,11:37,Taipei,TPE,Eva Air,BR383,2,35R,2.0,Bags Delivered,B-16337,A333,passenger
2025-12-16,11:50,14:10,Kuala Lumpur,KUL,Air Asia,AK648,2,35L,4.0,Bags Delivered,9M-AQI,A320,passenger
2025-12-16,11:50,11:56,Hanoi,HAN,VietJet Air,VJ507,1,35R,2.0,Arrived,VN-A632,A321,passenger
2025-12-16,12:05,12:28,Kuala Lumpur,KUL,Batik Air Malaysia,OD502,2,35L,4.0,Bags Delivered,9M-LRD,B38M,passenger
2025-12-16,12:10,12:45,Bangkok,DMK,Thai Air Asia,FD636,2,35L,2.0,Bags Delivered,HS-ABA,A320,passenger
2025-12-16,12:25,12:13,Ho Chi Minh City,SGN,Vietnam Airlines,VN126,1,35L,4.0,Arrived,VN-A332,A321,passenger
2025-12-16,12:30,12:38,Phu Quoc Island,PQC,VietJet Air,VJ718,1,35L,1.0,Arrived,VN-A676,A320,passenger
2025-12-16,12:30,12:20,Bangkok,BKK,Thai Vietjet,VZ960,2,35L,1.0,Bags Delivered,HS-VKR,A321,passenger
2025-12-16,12:35,12:28,Hanoi,HAN,Vietnam Airlines,VN167,1,35L,5.0,Arrived,VN-A613,A321,passenger
2025-12-16,12:40,12:43,Haiphong,HPH,Vietnam Airlines,VN1671,1,35L,3.0,Arrived,VN-A395,A321,passenger
2025-12-16,13:00,12:56,Ho Chi Minh City,SGN,Vietnam Airlines,VN7130,1,Unknown,4.0,Arrived,VN-A334,A321,passenger
2025-12-16,13:05,12:41,Singapore,SIN,VietJet Air,VJ970,2,35L,3.0,Bags Delivered,VN-A648,A321,passenger
2025-12-16,13:10,13:04,Tokyo,NRT,Vietnam Airlines,VN319,2,35L,4.0,Bags Delivered,VN-A336,A321,passenger
2025-12-16,13:10,13:02,Seoul,ICN,Vietnam Airlines,VN431,2,35L,1.0,Bags Delivered,VN-A501,A21N,passenger
2025-12-16,13:10,13:10,Hanoi,HAN,Vietnam Airlines,VN169,0,Unknown,,,,,general aviation
2025-12-16,13:20,13:25,Ho Chi Minh City,SGN,VietJet Air,VJ634,1,Unknown,2.0,Arrived,VN-A668,A320,passenger
2025-12-16,13:25,13:32,Seoul,ICN,Jeju Air,7C2211,2,35L,1.0,Bags Delivered,HL7213,B738,passenger
2025-12-16,13:30,13:13,Manila,MNL,Philippine Airlines,PR585,2,35L,2.0,Bags Delivered,RP-C9916,A321,passenger
2025-12-16,13:40,13:40,Ho Chi Minh City,SGN,Vietnam Airlines,VN6036,1,35L,3.0,Arrived,VN-A354,A321,passenger
2025-12-16,14:00,13:47,Busan,PUS,Korean Air,KE8451,2,35L,3.0,Bags Delivered,HL7709,A333,passenger
2025-12-16,14:15,13:58,Seoul,ICN,Korean Air,KE457,2,35L,2.0,Bags Delivered,HL8345,B789,passenger
2025-12-16,14:25,14:20,Hanoi,HAN,Vietnam Airlines,VN171,1,35L,4.0,Arrived,VN-A329,A321,passenger
2025-12-16,14:50,14:48,Ho Chi Minh City,SGN,Vietnam Airlines,VN132,1,35L,5.0,Arrived,VN-A393,A321,passenger
2025-12-16,14:55,15:23,Hanoi,HAN,VietJet Air,VJ513,1,Unknown,2.0,Arrived,VN-A643,A321,passenger
2025-12-16,15:05,15:30,Nha Trang,CXR,VietJet Air,VJ580,1,35L,3.0,Arrived,VN-A684,A321,passenger
2025-12-16,15:15,16:15,Kuala Lumpur,KUL,Air Asia,AK640,2,Unknown,4.0,Bags Delivered,9M-AJH,A320,passenger
2025-12-16,15:20,15:51,Ho Chi Minh City,SGN,VietJet Air,VJ632,1,35L,1.0,Arrived,VN-A656,A320,passenger
2025-12-16,15:35,15:35,Siem Reap,SAI,Air Cambodia,K6840,2,35L,2.0,Bags Delivered,ER-00011,A320,passenger
2025-12-16,15:40,15:40,Singapore,SIN,Singapore Airlines,SQ174,2,35L,1.0,Bags Delivered,9V-MBM,B38M,passenger
2025-12-16,15:55,15:50,Hong Kong,HKG,Hong Kong Airlines,HX548,0,35L,3.0,Bags Delivered,B-LPR,A321,general aviation
2025-12-16,15:55,15:47,Buon Ma Thuot,BMV,Vietnam Airlines,VN1910,1,35L,4.0,Arrived,VN-A395,A321,passenger
2025-12-16,16:10,16:05,Kuala Lumpur,KUL,VietJet Air,VJ824,2,35L,2.0,Bags Delivered,VN-A629,A321,passenger
2025-12-16,16:25,16:25,Taipei,TPE,China Airlines,CI789,2,35L,1.0,Bags Delivered,B-18103,A21N,passenger
2025-12-16,16:30,16:40,Hanoi,HAN,Vietnam Airlines,VN173,1,35L,5.0,Arrived,VN-A339,A321,passenger
2025-12-16,16:30,16:38,Can Tho,VCA,VietJet Air,VJ704,1,35L,2.0,Arrived,VN-A676,A320,passenger
2025-12-16,16:35,16:47,Ho Chi Minh City,SGN,Vietnam Airlines,VN134,1,35L,3.0,Arrived,VN-A353,A321,passenger
2025-12-16,16:40,16:40,Macau,MFM,VietJet Air,VJ8891,2,35L,2.0,Bags Delivered,VN-A667,A321,passenger
2025-12-16,17:10,17:28,Ho Chi Minh City,SGN,VietJet Air,VJ638,1,35L,1.0,Arrived,VN-A668,A320,passenger
2025-12-16,17:15,17:00,Taipei,TPE,Starlux Airlines,JX703,0,35L,2.0,Bags Delivered,B-58202,A21N,general aviation
2025-12-16,17:35,17:32,Hanoi,HAN,Vietnam Airlines,VN179,1,35L,4.0,Arrived,VN-A514,A20N,passenger
2025-12-16,17:35,17:20,Macau,MFM,Bamboo Airways,QH9589,2,35L,4.0,Bags Delivered,VN-A585,A321,passenger
2025-12-16,17:40,17:39,Hanoi,HAN,Bamboo Airways,QH147,1,35L,2.0,Arrived,VN-A227,A321,passenger
2025-12-16,17:45,17:52,Hanoi,HAN,VietJet Air,VJ515,1,35L,1.0,Arrived,VN-A672,A320,passenger
2025-12-16,17:45,17:40,Hong Kong,HKG,Hong Kong Express Airways,UO558,2,35L,1.0,Bags Delivered,B-LCH,A320,passenger
2025-12-16,18:05,17:57,Ho Chi Minh City,SGN,Vietnam Airlines,VN140,1,35L,3.0,Arrived,VN-A336,A321,passenger
2025-12-16,18:05,18:18,Ho Chi Minh City,SGN,Vietnam Airlines,VN136,1,35L,4.0,Arrived,VN-A603,A321,passenger
2025-12-16,18:10,18:21,Hanoi,HAN,Vietravel Airlines,VU639,1,35L,5.0,Arrived,VN-A129,A321,passenger
2025-12-16,18:20,19:05,Bangkok,DMK,Thai Air Asia,FD638,2,35L,4.0,Bags Delivered,HS-CBB,A20N,passenger
2025-12-16,18:25,19:30,Taipei,TPE,Tigerair Taiwan,IT551,2,35L,1.0,Bags Delivered,B-50008,A320,passenger
2025-12-16,18:30,18:28,Hanoi,HAN,Vietnam Airlines,VN187,1,35L,3.0,Arrived,VN-A513,A20N,passenger
2025-12-16,18:35,18:35,Jakarta,CGK,VietJet Air,VJ950,0,Unknown,,,,,general aviation
2025-12-16,19:10,19:10,Kaohsiung,KHH,Tigerair Taiwan,IT585,2,35L,2.0,Bags Delivered,B-50005,A320,passenger
2025-12-16,19:35,19:40,Bangkok,BKK,Vietnam Airlines,VN626,2,35L,2.0,Bags Delivered,VN-A501,A21N,passenger
2025-12-16,19:35,19:36,Ho Chi Minh City,SGN,VietJet Air,VJ648,1,35L,5.0,Arrived,VN-A699,A320,passenger
2025-12-16,19:40,19:44,Da Lat,DLI,VietJet Air,VJ728,1,35L,2.0,Arrived,VN-A676,A320,passenger
2025-12-16,19:45,19:55,Hanoi,HAN,Vietnam Airlines,VN6071,1,35L,1.0,Arrived,VN-A363,A321,passenger
2025-12-16,19:50,19:35,Seoul,ICN,Air Premia,YP621,2,35L,3.0,Bags Delivered,HL8702,B789,passenger
2025-12-16,19:55,21:04,Phu Quoc Island,PQC,VietJet Air,VJ1718,1,35L,4.0,Arrived,VN-A698,A321,passenger
2025-12-16,20:05,20:23,Ho Chi Minh City,SGN,Vietnam Airlines,VN142,1,35L,3.0,Arrived,VN-A601,A321,passenger
2025-12-16,20:15,20:32,Haiphong,HPH,VietJet Air,VJ723,1,35L,1.0,Arrived,VN-A656,A320,passenger
2025-12-16,20:25,20:41,Hanoi,HAN,VietJet Air,VJ517,1,35L,2.0,Arrived,VN-A636,A321,passenger
2025-12-16,20:30,20:36,Ho Chi Minh City,SGN,Vietravel Airlines,VU684,1,35L,4.0,Arrived,9H-MLW,A320,passenger
2025-12-16,20:30,20:18,Nha Trang,CXR,Vietnam Airlines,VN1940,1,35L,5.0,Arrived,VN-A353,A321,passenger
2025-12-16,20:30,20:29,Hanoi,HAN,Vietnam Airlines,VN195,1,35L,5.0,Arrived,VN-A604,A321,passenger
2025-12-16,21:25,21:35,Seoul,ICN,Parata Air,WE201,2,35L,3.0,Bags Delivered,HL8709,A332,passenger
2025-12-16,21:30,21:21,Seoul,ICN,Korean Air,KE459,2,35L,2.0,Bags Delivered,HL7209,B789,passenger
2025-12-16,21:30,21:15,Manila,MNL,Cebu Pacific,5J5756,2,35L,4.0,Bags Delivered,RP-C4123,A21N,passenger
2025-12-16,21:35,22:36,Hanoi,HAN,VietJet Air,VJ501,1,35L,2.0,Arrived,VN-A535,A321,passenger
2025-12-16,21:35,21:34,Bangkok,BKK,VietJet Air,VJ1962,2,35L,1.0,Bags Delivered,VN-A629,A321,passenger
2025-12-16,21:45,21:36,Seoul,ICN,Asiana Airlines,OZ755,2,35L,4.0,Bags Delivered,HL8586,A21N,passenger
2025-12-16,22:00,22:08,Ho Chi Minh City,SGN,VietJet Air,VJ646,1,35L,1.0,Arrived,VN-A546,A21N,passenger
2025-12-16,22:10,22:10,Hanoi,HAN,Vietnam Airlines,VN7199,0,Unknown,,,,,general aviation
2025-12-16,22:15,23:30,Ho Chi Minh City,SGN,Vietnam Airlines,VN148,1,35R,5.0,Arrived,VN-A326,A321,passenger
2025-12-16,22:20,22:05,Daegu,TAE,T'Way Air,TW29,2,35L,1.0,Bags Delivered,HL8047,B738,passenger
2025-12-16,22:20,22:15,Seoul,ICN,T'Way Air,TW11,2,35L,2.0,Bags Delivered,HL8329,B738,passenger
2025-12-16,22:25,22:30,Macau,MFM,Air Macau,NX976,0,35L,4.0,Bags Delivered,B-MBU,A21N,general aviation
2025-12-16,22:30,22:23,Hanoi,HAN,Vietnam Airlines,VN7193,1,35L,3.0,Arrived,VN-A398,A321,passenger
2025-12-16,22:45,22:41,Ho Chi Minh City,SGN,VietJet Air,VJ640,1,35L,4.0,Arrived,VN-A663,A320,passenger
2025-12-16,23:00,22:40,Macau,MFM,Air Macau,NX978,0,35R,1.0,Bags Delivered,B-MCH,A320,general aviation
2025-12-16,23:10,22:45,Macau,MFM,VietJet Air,VJ8893,2,35R,3.0,Bags Delivered,VN-A667,A321,passenger
2025-12-16,23:35,00:40,Seoul,ICN,T'Way Air,TW13,2,Unknown,3.0,Delayed,HL8379,B738,passenger
2025-12-16,23:40,00:20,Seoul,ICN,Air Seoul,RS511,2,35L,2.0,Delayed,HL8073,A321,passenger
2025-12-16,23:50,23:50,Busan,PUS,Air Busan,BX773,0,35L,2.0,Arrived,HL8055,A320,general aviation
2025-12-16,23:55,00:00,Busan,PUS,Jin Air,LJ111,2,Unknown,3.0,Delayed,HL8014,B738,passenger
2025-12-17,00:05,00:15,Busan,PUS,Jin Air,LJ183,2,35L,4.0,Bags Delivered,HL8016,B738,passenger
2025-12-17,00:20,00:35,Ho Chi Minh City,SGN,VietJet Air,VJ636,1,35L,3.0,Arrived,VN-A656,A321,passenger
2025-12-17,00:20,23:55,Seoul,ICN,Eastar Jet,ZE593,2,35L,1.0,Bags Delivered,HL8544,B38M,passenger
2025-12-17,00:45,00:45,Cheongju,CJJ,Aero-K Airlines,RF531,2,35L,2.0,Arrived,HL8743,A320,passenger
2025-12-17,01:00,00:35,Busan,PUS,Air Busan,BX7315,0,35L,1.0,Arrived,HL8365,A321,general aviation
2025-12-17,01:10,00:55,Busan,PUS,Korean Air,KE2093,2,35L,4.0,Arrived,HL7709,A333,passenger
2025-12-17,01:45,01:30,Seoul,ICN,VietJet Air,VJ875,2,35L,3.0,Arrived,VN-A630,A321,passenger
2025-12-17,04:00,04:00,Manila,MNL,VietJet Air,VJ2841,2,35L,3.0,Arrived,VN-A636,A321,passenger
2025-12-17,07:25,07:17,Ho Chi Minh City,SGN,Vietnam Airlines,VN106,1,35L,3.0,Arrived,VN-A396,A321,passenger
2025-12-17,07:25,07:12,Hanoi,HAN,Vietnam Airlines,VN157,1,35L,1.0,Arrived,VN-A503,A21N,passenger
2025-12-17,07:40,07:40,Ho Chi Minh City,SGN,Bamboo Airways,QH150,1,35L,4.0,Arrived,JU-1410,A320,passenger
2025-12-17,07:45,07:41,Hanoi,HAN,Vietravel Airlines,VU635,1,35L,5.0,Arrived,VN-A136,A320,passenger
2025-12-17,08:20,08:11,Ho Chi Minh City,SGN,Vietnam Airlines,VN110,1,35L,3.0,Arrived,VN-A608,A321,passenger
2025-12-17,08:55,08:42,Da Lat,DLI,Vietnam Airlines,VN1954,1,35L,1.0,Arrived,VN-A353,A321,passenger
2025-12-17,09:05,09:18,Bangkok,DMK,Thai Air Asia,FD634,2,35L,4.0,Bags Delivered,HS-EAB,A21N,passenger
2025-12-17,09:10,09:25,Taipei,TPE,China Airlines,CI787,2,35L,2.0,Bags Delivered,B-18120,A21N,passenger
2025-12-17,09:10,09:01,Hong Kong,HKG,Hong Kong Express Airways,UO552,2,35L,1.0,Bags Delivered,B-LCJ,A320,passenger
2025-12-17,09:10,09:05,Hanoi,HAN,Vietnam Airlines,VN163,1,35L,3.0,Arrived,VN-A356,A321,passenger
2025-12-17,09:25,09:39,Ho Chi Minh City,SGN,Vietnam Airlines,VN112,1,35R,4.0,Arrived,VN-A611,A321,passenger
2025-12-17,09:40,09:35,Hanoi,HAN,Vietnam Airlines,VN6081,1,35L,5.0,Arrived,VN-A363,A321,passenger
2025-12-17,09:40,09:50,Ho Chi Minh City,SGN,VietJet Air,VJ624,1,35L,2.0,Arrived,VN-A653,A21N,passenger
2025-12-17,09:40,10:06,Ho Chi Minh City,SGN,VietJet Air,VJ620,1,35R,1.0,Arrived,VN-A687,A321,passenger
2025-12-17,10:05,09:42,Seoul,ICN,VietJet Air,VJ879,2,35R,3.0,Bags Delivered,VN-A629,A321,passenger
2025-12-17,10:20,10:23,Ho Chi Minh City,SGN,Vietravel Airlines,VU672,1,35R,3.0,Arrived,9H-MLW,A320,passenger
2025-12-17,10:25,10:31,Ho Chi Minh City,SGN,Vietnam Airlines,VN118,1,35R,5.0,Arrived,VN-A395,A321,passenger
2025-12-17,10:40,11:01,Kuala Lumpur,KUL,Air Asia,AK642,2,35L,4.0,Bags Delivered,9M-AJN,A320,passenger
2025-12-17,10:45,11:07,Ho Chi Minh City,SGN,VietJet Air,VJ626,1,35L,2.0,Arrived,VN-A642,A321,passenger
2025-12-17,10:50,10:57,Hanoi,HAN,VietJet Air,VJ527,1,35L,1.0,Arrived,VN-A633,A321,passenger
2025-12-17,10:55,10:50,Seoul,ICN,T'Way Air,TW7,2,35L,2.0,Bags Delivered,HL8513,B38M,passenger
2025-12-17,11:00,11:22,Busan,PUS,VietJet Air,VJ989,2,35L,3.0,Bags Delivered,VN-A667,A321,passenger
2025-12-17,11:00,10:56,Singapore,SIN,Singapore Airlines,SQ172,2,35L,1.0,Bags Delivered,9V-MBC,B38M,passenger
2025-12-17,11:05,11:20,Ho Chi Minh City,SGN,VietJet Air,VJ628,1,35L,4.0,Arrived,VN-A661,A321,passenger
2025-12-17,11:15,11:32,Hanoi,HAN,VietJet Air,VJ505,1,35L,3.0,Arrived,VN-A535,A321,passenger
2025-12-17,11:25,11:24,Ho Chi Minh City,SGN,Vietnam Airlines,VN122,1,35L,5.0,Arrived,VN-A396,A321,passenger
2025-12-17,11:25,11:25,Bangkok,BKK,VietJet Air,VJ1964,0,Unknown,,,,,general aviation
2025-12-17,11:30,11:29,Ho Chi Minh City,SGN,Bamboo Airways,QH154,1,35L,1.0,Arrived,VN-A585,A321,passenger
2025-12-17,11:35,11:47,Hanoi,HAN,Vietnam Airlines,VN165,1,35L,5.0,Arrived,VN-A612,A321,passenger
2025-12-17,11:40,11:37,Hong Kong,HKG,Hong Kong Express Airways,UO502,2,35L,1.0,Bags Delivered,B-LEK,A321,passenger
2025-12-17,11:40,11:52,Taipei,TPE,Eva Air,BR383,2,35L,2.0,Bags Delivered,B-16340,A333,passenger
2025-12-17,11:50,11:44,Kuala Lumpur,KUL,Air Asia,AK648,2,35L,4.0,Bags Delivered,9M-RAG,A320,passenger
2025-12-17,11:50,12:07,Hanoi,HAN,VietJet Air,VJ507,1,35L,2.0,Arrived,VN-A644,A321,passenger
2025-12-17,12:05,12:43,Kuala Lumpur,KUL,Batik Air Malaysia,OD502,2,35L,3.0,Bags Delivered,9M-LRV,B38M,passenger
2025-12-17,12:10,12:11,Bangkok,DMK,Thai Air Asia,FD636,2,35L,3.0,Bags Delivered,HS-BBL,A320,passenger
2025-12-17,12:25,12:35,Ho Chi Minh City,SGN,Vietnam Airlines,VN126,1,35L,3.0,Arrived,VN-A327,A321,passenger
2025-12-17,12:30,12:22,Bangkok,BKK,Thai Vietjet,VZ960,2,35L,4.0,Bags Delivered,HS-VKR,A321,passenger
2025-12-17,12:40,12:30,Haiphong,HPH,Vietnam Airlines,VN1671,1,35L,5.0,Arrived,VN-A353,A321,passenger
2025-12-17,13:00,13:35,Ho Chi Minh City,SGN,VietJet Air,VJ634,1,35L,2.0,Arrived,VN-A685,A321,passenger
2025-12-17,13:05,12:47,Singapore,SIN,VietJet Air,VJ970,2,35L,1.0,Bags Delivered,VN-A630,A321,passenger
2025-12-17,13:10,13:24,Tokyo,NRT,Vietnam Airlines,VN319,2,35L,1.0,Bags Delivered,VN-A398,A321,passenger
2025-12-17,13:10,13:12,Seoul,ICN,Vietnam Airlines,VN431,2,35L,4.0,Bags Delivered,VN-A501,A21N,passenger
2025-12-17,13:10,13:08,Hanoi,HAN,Vietnam Airlines,VN167,1,Unknown,4.0,Arrived,VN-A505,A21N,passenger
2025-12-17,13:15,13:02,Hanoi,HAN,Bamboo Airways,QH135,1,35L,1.0,Arrived,VN-A597,A321,passenger
2025-12-17,13:15,13:09,Taipei,TPE,Eva Air,BR1383,2,35L,2.0,Bags Delivered,B-16226,A321,passenger
2025-12-17,13:25,13:24,Seoul,ICN,Jeju Air,7C2211,2,35L,3.0,Bags Delivered,HL8332,B738,passenger
2025-12-17,13:40,14:12,Ho Chi Minh City,SGN,Vietnam Airlines,VN6036,1,Unknown,3.0,Arrived,VN-A359,A321,passenger
2025-12-17,13:40,13:38,Kuala Lumpur,KUL,Malaysia Airlines,MH748,2,35L,4.0,Bags Delivered,9M-MXL,B738,passenger
2025-12-17,14:00,13:43,Busan,PUS,Korean Air,KE8451,2,35L,2.0,Bags Delivered,HL7585,A333,passenger
2025-12-17,14:15,14:04,Seoul,ICN,Korean Air,KE457,2,35L,1.0,Bags Delivered,HL8083,B789,passenger
2025-12-17,14:20,15:18,Phu Quoc Island,PQC,VietJet Air,VJ718,1,35L,5.0,Arrived,VN-A687,A321,passenger
2025-12-17,14:55,14:57,Hanoi,HAN,VietJet Air,VJ513,1,35L,2.0,Arrived,VN-A658,A320,passenger
2025-12-17,15:00,15:08,Ho Chi Minh City,SGN,Vietnam Airlines,VN132,1,35L,1.0,Arrived,VN-A399,A321,passenger
2025-12-17,15:15,14:50,Kuala Lumpur,KUL,Air Asia,AK640,2,35L,4.0,Bags Delivered,9M-RAH,A20N,passenger
2025-12-17,15:20,15:33,Ho Chi Minh City,SGN,VietJet Air,VJ632,1,35L,4.0,Arrived,VN-A629,A321,passenger
2025-12-17,15:35,15:05,Siem Reap,SAI,Air Cambodia,K6840,2,35L,3.0,Bags Delivered,ER-00011,A320,passenger
2025-12-17,15:40,16:10,Singapore,SIN,Singapore Airlines,SQ174,2,35L,1.0,Bags Delivered,9V-MBO,B38M,passenger
2025-12-17,15:40,15:40,Hanoi,HAN,Vietnam Airlines,VN7195,1,35L,3.0,Arrived,VN-A606,A321,passenger
2025-12-17,15:55,15:50,Hong Kong,HKG,Hong Kong Airlines,HX548,0,35L,2.0,Bags Delivered,B-LPR,A321,general aviation
2025-12-17,16:10,15:55,Kuala Lumpur,KUL,VietJet Air,VJ824,2,35L,4.0,Bags Delivered,VN-A636,A321,passenger
2025-12-17,16:30,16:26,Hanoi,HAN,Vietnam Airlines,VN173,1,35L,5.0,Arrived,VN-A622,A21N,passenger
2025-12-17,16:30,16:23,Can Tho,VCA,VietJet Air,VJ704,1,35L,2.0,Arrived,VN-A661,A321,passenger
2025-12-17,16:40,17:00,Macau,MFM,VietJet Air,VJ8891,2,35L,3.0,Bags Delivered,VN-A667,A321,passenger
2025-12-17,16:45,16:39,Ho Chi Minh City,SGN,Vietnam Airlines,VN7130,1,35L,4.0,Arrived,VN-A336,A321,passenger
2025-12-17,16:45,17:01,Ho Chi Minh City,SGN,VietJet Air,VJ638,1,35L,3.0,Arrived,VN-A544,A321,passenger
2025-12-17,16:55,16:47,Can Tho,VCA,Vietnam Airlines,VN1440,1,35L,1.0,Arrived,VN-A353,A321,passenger
2025-12-17,17:00,17:15,Ho Chi Minh City,SGN,Vietnam Airlines,VN134,1,35L,5.0,Arrived,VN-A507,A21N,passenger
2025-12-17,17:35,17:25,Hanoi,HAN,Vietnam Airlines,VN179,1,35L,2.0,Arrived,VN-A514,A20N,passenger
2025-12-17,17:35,17:15,Macau,MFM,Bamboo Airways,QH9589,2,35L,4.0,Bags Delivered,VN-A585,A321,passenger
2025-12-17,17:35,17:25,Kaohsiung,KHH,Tigerair Taiwan,IT585,2,35L,2.0,Bags Delivered,B-50021,A20N,passenger
2025-12-17,17:40,17:38,Hanoi,HAN,Bamboo Airways,QH147,1,35L,4.0,Arrived,VN-A227,A321,passenger
2025-12-17,17:45,18:31,Ho Chi Minh City,SGN,Vietnam Airlines,VN136,1,35L,3.0,Arrived,VN-A395,A321,passenger
2025-12-17,17:45,18:10,Hanoi,HAN,VietJet Air,VJ515,1,35L,5.0,Arrived,VN-A648,A321,passenger
2025-12-17,17:45,17:40,Hong Kong,HKG,Hong Kong Express Airways,UO558,2,35L,1.0,Bags Delivered,B-LED,A321,passenger
2025-12-17,18:10,18:22,Ho Chi Minh City,SGN,Vietnam Airlines,VN140,1,35L,4.0,Arrived,VN-A608,A321,passenger
2025-12-17,18:10,18:15,Hanoi,HAN,Vietravel Airlines,VU639,1,35L,1.0,Arrived,VN-A136,A320,passenger
2025-12-17,18:20,19:30,Bangkok,DMK,Thai Air Asia,FD638,2,35L,3.0,Bags Delivered,HS-BBP,A320,passenger
