Crawl_Date,Actual_Time,Flight_Time,Origin,IATA,Airline,Flight_No,Terminal,Arrival_Runway,Status,Actual_Tail,Aircraft_Type,Category,Scheduled_Time,Arrival_Planned_Landing_Time,Arrival_Actual_Landing_Time,Arrival_Flight_Duration_Minutes,Arrival_Planned_Landing_DateTime,Arrival_Actual_Landing_DateTime,Scheduled_DateTime,Actual_DateTime,Is_Return_Emergency,Is_Same_Origin_Unmatched,Same_Origin_Action,Military_Count_1h,Military_Count_3h,Is_Military_Active
2025-12-16,22:57,01:37,Guangzhou,CAN,China Southern Airlines,CZ371,2,11L,Landed,B-320Y,A21N,passenger,N/A,N/A,22:57,97,N/A,2025-12-16 22:57:00,N/A,2025-12-16 22:57:00,False,False,N/A,0,0,False
2025-12-16,22:54,01:49,Can Tho,VCA,VietJet Air,VJ464,1,11L,Landed,VN-A643,A321,passenger,N/A,N/A,22:54,109,N/A,2025-12-16 22:54:00,N/A,2025-12-16 22:54:00,False,False,N/A,0,0,False
2025-12-16,22:51,05:52,Tokyo,NRT,All Nippon Airways,NH897,2,11L,Landed,JA928A,B789,passenger,N/A,N/A,22:51,352,N/A,2025-12-16 22:51:00,N/A,2025-12-16 22:51:00,False,False,N/A,0,0,False
2025-12-16,22:45,12:29,Anchorage,ANC,Ups,5X72,0,11L,Landed,N610UP,B748,cargo,N/A,N/A,22:45,749,N/A,2025-12-16 22:45:00,N/A,2025-12-16 22:45:00,False,False,N/A,0,0,False
2025-12-16,22:42,01:40,Ho Chi Minh City,SGN,Bamboo Airways,QH286,1,11L,Landed,VN-A585,A321,passenger,N/A,N/A,22:42,100,N/A,2025-12-16 22:42:00,N/A,2025-12-16 22:42:00,False,False,N/A,0,0,False
2025-12-16,22:31,01:38,Ho Chi Minh City,SGN,VietJet Air,VJ180,1,11L,Landed,VN-A661,A321,passenger,N/A,N/A,22:31,98,N/A,2025-12-16 22:31:00,N/A,2025-12-16 22:31:00,False,False,N/A,0,0,False
2025-12-16,22:28,01:40,Ho Chi Minh City,SGN,Vietnam Airlines,VN7260,1,11L,Landed,VN-A324,A321,passenger,N/A,N/A,22:28,100,N/A,2025-12-16 22:28:00,N/A,2025-12-16 22:28:00,False,False,N/A,0,0,False
2025-12-16,22:24,04:24,Seoul,ICN,Asiana Airlines,OZ733,2,11L,Landed,HL8522,A359,passenger,N/A,N/A,22:24,264,N/A,2025-12-16 22:24:00,N/A,2025-12-16 22:24:00,False,False,N/A,0,0,False
2025-12-16,22:20,04:30,Seoul,ICN,Korean Air,KE447,2,11L,Landed,HL8085,B789,passenger,N/A,N/A,22:20,270,N/A,2025-12-16 22:20:00,N/A,2025-12-16 22:20:00,False,False,N/A,0,0,False
2025-12-16,22:17,00:58,Hue,HUI,VietJet Air,VJ568,1,11L,Landed,VN-A632,A321,passenger,N/A,N/A,22:17,58,N/A,2025-12-16 22:17:00,N/A,2025-12-16 22:17:00,False,False,N/A,0,0,False
2025-12-16,22:13,02:43,Kuala Lumpur,KUL,Vietnam Airlines,VN680,2,11L,Landed,VN-A399,A321,passenger,N/A,N/A,22:13,163,N/A,2025-12-16 22:13:00,N/A,2025-12-16 22:13:00,False,False,N/A,0,0,False
2025-12-16,22:10,01:44,Hong Kong,HKG,HK express,UO542,2,11L,Landed,B-HSL,A320,passenger,N/A,N/A,22:10,104,N/A,2025-12-16 22:10:00,N/A,2025-12-16 22:10:00,False,False,N/A,0,0,False
2025-12-16,22:07,01:31,Nha Trang,CXR,VietJet Air,VJ778,1,11L,Landed,VN-A651,A321,passenger,N/A,N/A,22:07,91,N/A,2025-12-16 22:07:00,N/A,2025-12-16 22:07:00,False,False,N/A,0,0,False
2025-12-16,22:02,01:55,Chengdu,TFU,Sichuan Airlines,3U3905,2,11L,Landed,B-9935,A320,passenger,N/A,N/A,22:02,115,N/A,2025-12-16 22:02:00,N/A,2025-12-16 22:02:00,False,False,N/A,0,0,False
2025-12-16,21:57,01:35,Macau,MFM,Air Macau,NX982,2,11L,Landed,B-MBP,A20N,passenger,N/A,N/A,21:57,95,N/A,2025-12-16 21:57:00,N/A,2025-12-16 21:57:00,False,False,N/A,0,0,False
2025-12-16,21:55,01:52,Ho Chi Minh City,SGN,VietJet Air,VJ158,1,11L,Landed,VN-A673,A321,passenger,N/A,N/A,21:55,112,N/A,2025-12-16 21:55:00,N/A,2025-12-16 21:55:00,False,False,N/A,0,0,False
2025-12-16,21:51,01:06,Da Nang,DAD,Vietnam Airlines,VN6070,1,11L,Landed,VN-A363,A321,passenger,N/A,N/A,21:51,66,N/A,2025-12-16 21:51:00,N/A,2025-12-16 21:51:00,False,False,N/A,0,0,False
2025-12-16,21:48,04:48,Denpasar,DPS,VietJet Air,VJ998,2,11L,Landed,VN-A525,A21N,passenger,N/A,N/A,21:48,288,N/A,2025-12-16 21:48:00,N/A,2025-12-16 21:48:00,False,False,N/A,0,0,False
2025-12-16,21:43,02:16,Kolkata,CCU,IndiGo,6E9478,0,11L,Landed,VT-IKW,A321,cargo,N/A,N/A,21:43,136,N/A,2025-12-16 21:43:00,N/A,2025-12-16 21:43:00,False,False,N/A,0,0,False
2025-12-16,21:40,01:48,Can Tho,VCA,Vietnam Airlines,VN1206,1,11L,Landed,VN-A397,A321,passenger,N/A,N/A,21:40,108,N/A,2025-12-16 21:40:00,N/A,2025-12-16 21:40:00,False,False,N/A,0,0,False
2025-12-16,21:36,01:38,Ho Chi Minh City,SGN,Vietnam Airlines,VN262,1,11L,Landed,VN-A870,B789,passenger,N/A,N/A,21:36,98,N/A,2025-12-16 21:36:00,N/A,2025-12-16 21:36:00,False,False,N/A,0,0,False
2025-12-16,21:33,01:39,Ho Chi Minh City,SGN,VietJet Air,VJ166,1,11L,Landed,VN-A549,A21N,passenger,N/A,N/A,21:33,99,N/A,2025-12-16 21:33:00,N/A,2025-12-16 21:33:00,False,False,N/A,0,0,False
2025-12-16,21:26,02:55,Taipei,TPE,VietJet Air,VJ943,2,11L,Landed,VN-A534,A21N,passenger,N/A,N/A,21:26,175,N/A,2025-12-16 21:26:00,N/A,2025-12-16 21:26:00,False,False,N/A,0,0,False
2025-12-16,21:23,01:44,Ho Chi Minh City,SGN,VietJet Air,VJ196,1,11L,Landed,VN-A536,A21N,passenger,N/A,N/A,21:23,104,N/A,2025-12-16 21:23:00,N/A,2025-12-16 21:23:00,False,False,N/A,0,0,False
2025-12-16,21:21,01:33,Shenzhen,SZX,China Southern Airlines,CZ8083,2,11L,Landed,B-9913,A320,passenger,N/A,N/A,21:21,93,N/A,2025-12-16 21:21:00,N/A,2025-12-16 21:21:00,False,False,N/A,0,0,False
2025-12-16,21:17,00:53,Vientiane,VTE,Vietnam Airlines,VN920,2,11L,Landed,VN-A323,A321,passenger,N/A,N/A,21:17,53,N/A,2025-12-16 21:17:00,N/A,2025-12-16 21:17:00,False,False,N/A,0,0,False
2025-12-16,21:13,01:41,Ho Chi Minh City,SGN,Sun PhuQuoc Airways,9G878,1,11L,Landed,VN-A282,A21N,passenger,N/A,N/A,21:13,101,N/A,2025-12-16 21:13:00,N/A,2025-12-16 21:13:00,False,False,N/A,0,0,False
2025-12-16,21:10,01:18,Bangkok,BKK,FedEx,FX6002,0,11L,Landed,N124FE,B763,cargo,N/A,N/A,21:10,78,N/A,2025-12-16 21:10:00,N/A,2025-12-16 21:10:00,False,False,N/A,0,0,False
2025-12-16,21:07,01:41,Ho Chi Minh City,SGN,Vietnam Airlines,VN258,1,11L,Landed,VN-A892,A359,passenger,N/A,N/A,21:07,101,N/A,2025-12-16 21:07:00,N/A,2025-12-16 21:07:00,False,False,N/A,0,0,False
2025-12-16,21:04,04:21,Seoul,ICN,Vietnam Airlines,VN415,2,11L,Landed,VN-A889,A359,passenger,N/A,N/A,21:04,261,N/A,2025-12-16 21:04:00,N/A,2025-12-16 21:04:00,False,False,N/A,0,0,False
2025-12-16,20:58,01:32,Nha Trang,CXR,Vietnam Airlines,VN1562,1,11L,Landed,VN-A622,A21N,passenger,N/A,N/A,20:58,92,N/A,2025-12-16 20:58:00,N/A,2025-12-16 20:58:00,False,False,N/A,0,0,False
2025-12-16,20:55,01:42,Ho Chi Minh City,SGN,Bamboo Airways,QH262,1,11L,Landed,ER-00005,A320,passenger,N/A,N/A,20:55,102,N/A,2025-12-16 20:55:00,N/A,2025-12-16 20:55:00,False,False,N/A,0,0,False
2025-12-16,20:52,01:19,Bangkok,BKK,VietJet Air,VJ904,2,11L,Landed,VN-A647,A321,passenger,N/A,N/A,20:52,79,N/A,2025-12-16 20:52:00,N/A,2025-12-16 20:52:00,False,False,N/A,0,0,False
2025-12-16,20:45,01:27,Bangkok,BKK,Vietnam Airlines,VN618,2,11L,Landed,VN-A612,A321,passenger,N/A,N/A,20:45,87,N/A,2025-12-16 20:45:00,N/A,2025-12-16 20:45:00,False,False,N/A,0,0,False
2025-12-16,20:42,01:37,Da Lat,DLI,VietJet Air,VJ410,1,11L,Landed,N/A,N/A,unknown,N/A,N/A,20:42,97,N/A,2025-12-16 20:42:00,N/A,2025-12-16 20:42:00,False,False,N/A,0,0,False
2025-12-16,20:39,06:02,Tokyo,NRT,VietJet Air,VJ935,2,11L,Landed,VN-A539,A21N,passenger,N/A,N/A,20:39,362,N/A,2025-12-16 20:39:00,N/A,2025-12-16 20:39:00,False,False,N/A,0,0,False
2025-12-16,20:36,01:31,Bangkok,DMK,AirAsia,FD644,2,11L,Landed,HS-EAF,A21N,passenger,N/A,N/A,20:36,91,N/A,2025-12-16 20:36:00,N/A,2025-12-16 20:36:00,False,False,N/A,0,0,False
2025-12-16,20:33,01:06,Da Nang,DAD,Vietravel Airlines,VU658,1,11L,Landed,VN-A129,A321,passenger,N/A,N/A,20:33,66,N/A,2025-12-16 20:33:00,N/A,2025-12-16 20:33:00,False,False,N/A,0,0,False
2025-12-16,20:30,01:28,Siem Reap,SAI,VietJet Air,VJ914,2,11L,Landed,VN-A666,A320,passenger,N/A,N/A,20:30,88,N/A,2025-12-16 20:30:00,N/A,2025-12-16 20:30:00,False,False,N/A,0,0,False
2025-12-16,20:28,01:44,Ho Chi Minh City,SGN,Vietnam Airlines,VN218,1,11L,Landed,VN-A898,A359,passenger,N/A,N/A,20:28,104,N/A,2025-12-16 20:28:00,N/A,2025-12-16 20:28:00,False,False,N/A,0,0,False
2025-12-16,20:25,01:45,Phu Quoc,PQC,VietJet Air,VJ1440,1,11L,Landed,VN-A535,A321,passenger,N/A,N/A,20:25,105,N/A,2025-12-16 20:25:00,N/A,2025-12-16 20:25:00,False,False,N/A,0,0,False
2025-12-16,20:22,05:33,Tokyo,HND,Vietnam Airlines,VN385,2,11L,Landed,VN-A861,B789,passenger,N/A,N/A,20:22,333,N/A,2025-12-16 20:22:00,N/A,2025-12-16 20:22:00,False,False,N/A,0,0,False
2025-12-16,20:21,01:41,Ho Chi Minh City,SGN,Sun PhuQuoc Airways,9G868,1,11L,Landed,VN-A281,A21N,passenger,N/A,N/A,20:21,101,N/A,2025-12-16 20:21:00,N/A,2025-12-16 20:21:00,False,False,N/A,0,0,False
2025-12-16,20:17,00:57,Da Nang,DAD,Vietnam Airlines,VN188,1,11L,Landed,VN-A513,A20N,passenger,N/A,N/A,20:17,57,N/A,2025-12-16 20:17:00,N/A,2025-12-16 20:17:00,False,False,N/A,0,0,False
2025-12-16,20:12,01:29,Bangkok,BKK,China Airlines,CI6654,0,11L,Landed,B-18722,B744,cargo,N/A,N/A,20:12,89,N/A,2025-12-16 20:12:00,N/A,2025-12-16 20:12:00,False,False,N/A,0,0,False
2025-12-16,20:09,01:41,Ho Chi Minh City,SGN,AeroLogic,3S621,0,11L,Landed,D-AALV,B77L,cargo,N/A,N/A,20:09,101,N/A,2025-12-16 20:09:00,N/A,2025-12-16 20:09:00,False,False,N/A,0,0,False
2025-12-16,20:06,02:40,Taichung,RMQ,VietJet Air,VJ949,2,11L,Landed,VN-A578,A21N,passenger,N/A,N/A,20:06,160,N/A,2025-12-16 20:06:00,N/A,2025-12-16 20:06:00,False,False,N/A,0,0,False
2025-12-16,19:58,01:59,Enshi,ENH,West Air,PN6535,2,11L,Landed,B-302F,A20N,passenger,N/A,N/A,19:58,119,N/A,2025-12-16 19:58:00,N/A,2025-12-16 19:58:00,False,False,N/A,0,0,False
2025-12-16,19:54,00:59,Da Nang,DAD,Vietnam Airlines,VN7196,1,11L,Landed,VN-A336,A321,passenger,N/A,N/A,19:54,59,N/A,2025-12-16 19:54:00,N/A,2025-12-16 19:54:00,False,False,N/A,0,0,False
2025-12-16,19:50,00:55,Hue,HUI,Vietnam Airlines,VN1544,1,11L,Landed,VN-A356,A321,passenger,N/A,N/A,19:50,55,N/A,2025-12-16 19:50:00,N/A,2025-12-16 19:50:00,False,False,N/A,0,0,False
2025-12-16,19:44,01:48,Ho Chi Minh City,SGN,Vietravel Airlines,VU780,1,11L,Landed,VN-A289,A321,passenger,N/A,N/A,19:44,108,N/A,2025-12-16 19:44:00,N/A,2025-12-16 19:44:00,False,False,N/A,0,0,False
2025-12-16,19:41,01:04,Da Nang,DAD,VietJet Air,VJ516,1,11L,Landed,VN-A672,A320,passenger,N/A,N/A,19:41,64,N/A,2025-12-16 19:41:00,N/A,2025-12-16 19:41:00,False,False,N/A,0,0,False
2025-12-16,19:38,01:03,Da Nang,DAD,Vietnam Airlines,VN180,1,11L,Landed,VN-A514,A20N,passenger,N/A,N/A,19:38,63,N/A,2025-12-16 19:38:00,N/A,2025-12-16 19:38:00,False,False,N/A,0,0,False
2025-12-16,19:34,01:29,Bangkok,BKK,Thai Airways,TG564,2,11L,Landed,HS-TXG,A320,passenger,N/A,N/A,19:34,89,N/A,2025-12-16 19:34:00,N/A,2025-12-16 19:34:00,False,False,N/A,0,0,False
2025-12-16,19:30,01:05,Da Nang,DAD,Bamboo Airways,QH148,1,11L,Landed,VN-A227,A321,passenger,N/A,N/A,19:30,65,N/A,2025-12-16 19:30:00,N/A,2025-12-16 19:30:00,False,False,N/A,0,0,False
2025-12-16,19:29,06:14,Bahrain,BAH,DHL Air,QY574,0,11L,Landed,D-ALMA,A332,cargo,N/A,N/A,19:29,374,N/A,2025-12-16 19:29:00,N/A,2025-12-16 19:29:00,False,False,N/A,0,0,False
2025-12-16,19:25,01:15,Pleiku,PXU,VietJet Air,VJ424,1,11L,Landed,VN-A637,A321,passenger,N/A,N/A,19:25,75,N/A,2025-12-16 19:25:00,N/A,2025-12-16 19:25:00,False,False,N/A,0,0,False
2025-12-16,19:20,05:47,Doha,DOH,Qatar Airways,QR984,2,11L,Landed,A7-BCQ,B788,passenger,N/A,N/A,19:20,347,N/A,2025-12-16 19:20:00,N/A,2025-12-16 19:20:00,False,False,N/A,0,0,False
2025-12-16,19:14,01:36,Ho Chi Minh City,SGN,Vietnam Airlines,VN254,1,11L,Landed,VN-A879,B78X,passenger,N/A,N/A,19:14,96,N/A,2025-12-16 19:14:00,N/A,2025-12-16 19:14:00,False,False,N/A,0,0,False
2025-12-16,19:07,01:43,Ho Chi Minh City,SGN,VietJet Air,VJ152,1,11L,Landed,VN-A689,A320,passenger,N/A,N/A,19:07,103,N/A,2025-12-16 19:07:00,N/A,2025-12-16 19:07:00,False,False,N/A,0,0,False
2025-12-16,19:00,01:18,Siem Reap,SAI,Vietnam Airlines,VN836,2,11L,Landed,VN-A398,A321,passenger,N/A,N/A,19:00,78,N/A,2025-12-16 19:00:00,N/A,2025-12-16 19:00:00,False,False,N/A,0,0,False
2025-12-16,18:55,02:34,Xi'an,XIY,China Eastern Airlines,MU867,2,11L,Landed,B-328Z,A20N,passenger,N/A,N/A,18:55,154,N/A,2025-12-16 18:55:00,N/A,2025-12-16 18:55:00,False,False,N/A,0,0,False
2025-12-16,18:50,01:38,Ho Chi Minh City,SGN,Vietnam Airlines,VN252,1,11L,Landed,VN-A868,B789,passenger,N/A,N/A,18:50,98,N/A,2025-12-16 18:50:00,N/A,2025-12-16 18:50:00,False,False,N/A,0,0,False
2025-12-16,18:48,04:58,Osaka,KIX,VietJet Air,VJ931,2,11L,Landed,VN-A693,A21N,passenger,N/A,N/A,18:48,298,N/A,2025-12-16 18:48:00,N/A,2025-12-16 18:48:00,False,False,N/A,0,0,False
2025-12-16,18:38,01:28,Buon Ma Thuot,BMV,VietJet Air,VJ1492,1,11L,Landed,VN-A632,A321,passenger,N/A,N/A,18:38,88,N/A,2025-12-16 18:38:00,N/A,2025-12-16 18:38:00,False,False,N/A,0,0,False
2025-12-16,18:34,01:34,Shenzhen,SZX,Shenzhen Airlines,ZH105,2,11L,Landed,B-5670,B738,passenger,N/A,N/A,18:34,94,N/A,2025-12-16 18:34:00,N/A,2025-12-16 18:34:00,False,False,N/A,0,0,False
2025-12-16,18:30,01:42,Hong Kong,HKG,Cathay Pacific,CX743,2,11L,Landed,B-HNQ,B773,passenger,N/A,N/A,18:30,102,N/A,2025-12-16 18:30:00,N/A,2025-12-16 18:30:00,False,False,N/A,0,0,False
2025-12-16,18:27,00:58,Da Nang,DAD,Vietnam Airlines,VN174,1,11L,Landed,VN-A339,A321,passenger,N/A,N/A,18:27,58,N/A,2025-12-16 18:27:00,N/A,2025-12-16 18:27:00,False,False,N/A,0,0,False
2025-12-16,18:23,03:23,Delhi,DEL,Atlas Air,5Y8138,0,11L,Landed,N412MC,B744,cargo,N/A,N/A,18:23,203,N/A,2025-12-16 18:23:00,N/A,2025-12-16 18:23:00,False,False,N/A,0,0,False
2025-12-16,18:20,01:28,Phnom Penh,KTI,Air Cambodia,K6850,2,11L,Landed,XU-356,A320,passenger,N/A,N/A,18:20,88,N/A,2025-12-16 18:20:00,N/A,2025-12-16 18:20:00,False,False,N/A,0,0,False
2025-12-16,18:17,01:37,Guangzhou,CAN,China Southern Airlines,CZ8177,2,11L,Landed,B-6776,A320,passenger,N/A,N/A,18:17,97,N/A,2025-12-16 18:17:00,N/A,2025-12-16 18:17:00,False,False,N/A,0,0,False
2025-12-16,18:13,01:41,Ho Chi Minh City,SGN,VietJet Air,VJ192,1,11L,Landed,VN-A811,A333,passenger,N/A,N/A,18:13,101,N/A,2025-12-16 18:13:00,N/A,2025-12-16 18:13:00,False,False,N/A,0,0,False
2025-12-16,18:10,03:32,Beijing,PEK,Vietnam Airlines,VN513,2,11L,Landed,VN-A606,A321,passenger,N/A,N/A,18:10,212,N/A,2025-12-16 18:10:00,N/A,2025-12-16 18:10:00,False,False,N/A,0,0,False
2025-12-16,18:07,00:56,Luang Prabang,LPQ,Lao Airlines,QV313,2,11L,Landed,RDPL-34225,AT76,passenger,N/A,N/A,18:07,56,N/A,2025-12-16 18:07:00,N/A,2025-12-16 18:07:00,False,False,N/A,0,0,False
2025-12-16,18:04,03:46,Jakarta,CGK,VietJet Air,VJ928,2,11L,Landed,VN-A658,A320,passenger,N/A,N/A,18:04,226,N/A,2025-12-16 18:04:00,N/A,2025-12-16 18:04:00,False,False,N/A,0,0,False
2025-12-16,18:01,01:33,Nha Trang,CXR,VietJet Air,VJ784,1,11L,Landed,VN-A634,A321,passenger,N/A,N/A,18:01,93,N/A,2025-12-16 18:01:00,N/A,2025-12-16 18:01:00,False,False,N/A,0,0,False
2025-12-16,17:58,01:41,Phu Quoc,PQC,Sun PhuQuoc Airways,9G1216,1,11L,Landed,VN-A280,A321,passenger,N/A,N/A,17:58,101,N/A,2025-12-16 17:58:00,N/A,2025-12-16 17:58:00,False,False,N/A,0,0,False
2025-12-16,17:55,01:42,Ho Chi Minh City,SGN,Vietnam Airlines,VN216,1,11L,Landed,VN-A896,A359,passenger,N/A,N/A,17:55,102,N/A,2025-12-16 17:55:00,N/A,2025-12-16 17:55:00,False,False,N/A,0,0,False
2025-12-16,17:51,05:29,Abu Dhabi,AUH,Etihad Airways,EY430,2,11L,Landed,A6-BNB,B789,passenger,N/A,N/A,17:51,329,N/A,2025-12-16 17:51:00,N/A,2025-12-16 17:51:00,False,False,N/A,0,0,False
2025-12-16,17:48,02:48,Singapore,SIN,VietJet Air,VJ916,2,11L,Landed,VN-A657,A321,passenger,N/A,N/A,17:48,168,N/A,2025-12-16 17:48:00,N/A,2025-12-16 17:48:00,False,False,N/A,0,0,False
2025-12-16,17:45,01:33,Nha Trang,CXR,Vietnam Airlines,VN1558,1,11L,Landed,VN-A602,A321,passenger,N/A,N/A,17:45,93,N/A,2025-12-16 17:45:00,N/A,2025-12-16 17:45:00,False,False,N/A,0,0,False
2025-12-16,17:42,02:30,Kaohsiung,KHH,VietJet Air,VJ947,2,11L,Landed,VN-A697,A21N,passenger,N/A,N/A,17:42,150,N/A,2025-12-16 17:42:00,N/A,2025-12-16 17:42:00,False,False,N/A,0,0,False
2025-12-16,17:39,01:23,Bangkok,BKK,Vietnam Airlines,VN614,2,11L,Landed,VN-A619,A21N,passenger,N/A,N/A,17:39,83,N/A,2025-12-16 17:39:00,N/A,2025-12-16 17:39:00,False,False,N/A,0,0,False
2025-12-16,17:35,03:02,Shanghai,PVG,Vietnam Airlines,VN533,2,11L,Landed,VN-A604,A321,passenger,N/A,N/A,17:35,182,N/A,2025-12-16 17:35:00,N/A,2025-12-16 17:35:00,False,False,N/A,0,0,False
2025-12-16,17:32,01:41,Ho Chi Minh City,SGN,Sun PhuQuoc Airways,9G854,1,11L,Landed,VN-A279,A321,passenger,N/A,N/A,17:32,101,N/A,2025-12-16 17:32:00,N/A,2025-12-16 17:32:00,False,False,N/A,0,0,False
2025-12-16,17:28,01:45,Phu Quoc,PQC,Vietnam Airlines,VN6400,1,11L,Landed,VN-A363,A321,passenger,N/A,N/A,17:28,105,N/A,2025-12-16 17:28:00,N/A,2025-12-16 17:28:00,False,False,N/A,0,0,False
2025-12-16,17:25,01:40,Ho Chi Minh City,SGN,Vietnam Airlines,VN250,1,11L,Landed,VN-A873,B78X,passenger,N/A,N/A,17:25,100,N/A,2025-12-16 17:25:00,N/A,2025-12-16 17:25:00,False,False,N/A,0,0,False
2025-12-16,17:23,01:04,Da Nang,DAD,VietJet Air,VJ514,1,11L,Landed,VN-A643,A321,passenger,N/A,N/A,17:23,64,N/A,2025-12-16 17:23:00,N/A,2025-12-16 17:23:00,False,False,N/A,0,0,False
2025-12-16,17:20,03:25,Shanghai,PVG,China Eastern Airlines,MU6013,2,11L,Landed,B-32KT,A21N,passenger,N/A,N/A,17:20,205,N/A,2025-12-16 17:20:00,N/A,2025-12-16 17:20:00,False,False,N/A,0,0,False
2025-12-16,17:17,03:06,Singapore,SIN,Singapore Airlines,SQ194,2,11L,Landed,9V-MBQ,B38M,passenger,N/A,N/A,17:17,186,N/A,2025-12-16 17:17:00,N/A,2025-12-16 17:17:00,False,False,N/A,0,0,False
2025-12-16,17:14,01:40,Guangzhou,CAN,Vietnam Airlines,VN507,2,11L,Landed,VN-A614,A321,passenger,N/A,N/A,17:14,100,N/A,2025-12-16 17:14:00,N/A,2025-12-16 17:14:00,False,False,N/A,0,0,False
2025-12-16,17:11,02:53,Taipei,TPE,EVA Air,BR385,2,11L,Landed,B-16225,A321,passenger,N/A,N/A,17:11,173,N/A,2025-12-16 17:11:00,N/A,2025-12-16 17:11:00,False,False,N/A,0,0,False
2025-12-16,17:04,00:38,Luang Prabang,LPQ,AirAsia,FD1038,2,11L,Landed,HS-CBM,A320,passenger,N/A,N/A,17:04,38,N/A,2025-12-16 17:04:00,N/A,2025-12-16 17:04:00,False,False,N/A,0,0,False
2025-12-16,16:58,01:49,Phu Quoc,PQC,VietJet Air,VJ446,1,11L,Landed,VN-A651,A321,passenger,N/A,N/A,16:58,109,N/A,2025-12-16 16:58:00,N/A,2025-12-16 16:58:00,False,False,N/A,0,0,False
2025-12-16,16:55,01:21,Bangkok,BKK,VietJet Air,VJ902,2,11L,Landed,VN-A636,A321,passenger,N/A,N/A,16:55,81,N/A,2025-12-16 16:55:00,N/A,2025-12-16 16:55:00,False,False,N/A,0,0,False
2025-12-16,16:51,01:41,Ho Chi Minh City,SGN,Vietnam Airlines,VN214,1,11L,Landed,VN-A872,B78X,passenger,N/A,N/A,16:51,101,N/A,2025-12-16 16:51:00,N/A,2025-12-16 16:51:00,False,False,N/A,0,0,False
2025-12-16,16:49,04:34,Denpasar,DPS,VietJet Air,VJ900,2,11L,Landed,VN-A674,A21N,passenger,N/A,N/A,16:49,274,N/A,2025-12-16 16:49:00,N/A,2025-12-16 16:49:00,False,False,N/A,0,0,False
2025-12-16,16:45,03:01,Taipei,TPE,China Airlines,CI793,2,11L,Landed,B-18661,B738,passenger,N/A,N/A,16:45,181,N/A,2025-12-16 16:45:00,N/A,2025-12-16 16:45:00,False,False,N/A,0,0,False
